Author,Commits
Tom Copeland,1624
Ryan Gustafson,1157
Brian Remedios,1094
Andreas Dangel,886
Clément Fournier,700
oowekyala,549
Xavier Le Vourch,323
Philippe Herlin,308
Don Leckie,234
Freddy Mallet,196
Juan Martín Sotuyo Dodero,177
Stuart Turton,148
Allan Caplan,145
Bendegúz Nagy,143
Sergey,104
Torsten Kleiber,94
Romain Pelisse,80
Sven Jacob,57
David Craine,41
Dale Anson,33
Victor Bucutea,31
Sergey Gorbaty,26
Ole-Martin Mork,26
gonzalo,21
BBG,20
Gunnlaugur Thor Briem,19
Romain PELISSE,18
Robert Sösemann,16
Radim Kubacki,15
David Renz,14
akshatbahety,14
Brice Dutheil,14
Akshat Bahety,13
Jeff Hube,13
Jiger Patel,12
Wouter Zelle,11
Miguel Griffa,10
Jan van Nunen,10
Oowekyala,9
David Dixon-Peugh,9
Robert Sösemann,8
epidemia,7
Alex Chaffee,6
lsoncini,4
Christofer Dutz,4
Andrey Utis,4
Andrey Lumyanski,4
José Manuel Rolón,3
Matias Fraga,3
Kristian Scheibe,3
kshantaraman,3
Robert M und David R,2
Tomi De Lucca,2
ryan-gustafson,2
Jan Aertgeerts,2
Philip Graf,2
Matthew Short,2
Robin Stocker,1
Robert Whitebit,1
ledoyen,1
rajeshggwp,1
George Kankava,1
Bernardo Macedo,1
Paul Kendall,1
Björn Kautler,1
Brant Gurganus,1
Colin Wilson-Salt,1
Tomasz Slota,1
Alan Ezust,1
mrb,1
Frits Jalvingh,1
Dionisio,1
Dennis Kieselhorst,1
amitbitcse,1
hooperbloob,1
Peter Kofler,1
Filipe Esperandio,1
