RefactoringType,FilePath,AuthorName,AuthorGroup,L1,L2,L3,L4,L5,L6
Move Class,pmd/src/com/infoether/pmd/ast/ASTAdditiveExpression.java,Tom Copeland,extremely high,pmd,src,com,infoether,pmd,ast/ASTAdditiveExpression.java
Move Class,pmd/src/com/infoether/pmd/ast/ASTAllocationExpression.java,Tom Copeland,extremely high,pmd,src,com,infoether,pmd,ast/ASTAllocationExpression.java
Move Class,pmd/src/com/infoether/pmd/ast/ASTAndExpression.java,Tom Copeland,extremely high,pmd,src,com,infoether,pmd,ast/ASTAndExpression.java
Move Class,pmd/src/com/infoether/pmd/ast/ASTArgumentList.java,Tom Copeland,extremely high,pmd,src,com,infoether,pmd,ast/ASTArgumentList.java
Move Class,pmd/src/com/infoether/pmd/ast/ASTArguments.java,Tom Copeland,extremely high,pmd,src,com,infoether,pmd,ast/ASTArguments.java
Move Class,pmd/src/com/infoether/pmd/ast/ASTArrayDimsAndInits.java,Tom Copeland,extremely high,pmd,src,com,infoether,pmd,ast/ASTArrayDimsAndInits.java
Move Class,pmd/src/com/infoether/pmd/ast/ASTArrayInitializer.java,Tom Copeland,extremely high,pmd,src,com,infoether,pmd,ast/ASTArrayInitializer.java
Move Class,pmd/src/com/infoether/pmd/ast/ASTAssertStatement.java,Tom Copeland,extremely high,pmd,src,com,infoether,pmd,ast/ASTAssertStatement.java
Move Class,pmd/src/com/infoether/pmd/ast/ASTAssignmentOperator.java,Tom Copeland,extremely high,pmd,src,com,infoether,pmd,ast/ASTAssignmentOperator.java
Move Class,pmd/src/com/infoether/pmd/ast/ASTBlock.java,Tom Copeland,extremely high,pmd,src,com,infoether,pmd,ast/ASTBlock.java
Move Class,pmd/src/com/infoether/pmd/ast/ASTBlockStatement.java,Tom Copeland,extremely high,pmd,src,com,infoether,pmd,ast/ASTBlockStatement.java
Move Class,pmd/src/com/infoether/pmd/ast/ASTBooleanLiteral.java,Tom Copeland,extremely high,pmd,src,com,infoether,pmd,ast/ASTBooleanLiteral.java
Move Class,pmd/src/com/infoether/pmd/ast/ASTBreakStatement.java,Tom Copeland,extremely high,pmd,src,com,infoether,pmd,ast/ASTBreakStatement.java
Move Class,pmd/src/com/infoether/pmd/ast/ASTCastExpression.java,Tom Copeland,extremely high,pmd,src,com,infoether,pmd,ast/ASTCastExpression.java
Move Class,pmd/src/com/infoether/pmd/ast/ASTCastLookahead.java,Tom Copeland,extremely high,pmd,src,com,infoether,pmd,ast/ASTCastLookahead.java
Move Class,pmd/src/com/infoether/pmd/ast/ASTClassBody.java,Tom Copeland,extremely high,pmd,src,com,infoether,pmd,ast/ASTClassBody.java
Move Class,pmd/src/com/infoether/pmd/ast/ASTClassBodyDeclaration.java,Tom Copeland,extremely high,pmd,src,com,infoether,pmd,ast/ASTClassBodyDeclaration.java
Move Class,pmd/src/com/infoether/pmd/ast/ASTClassDeclaration.java,Tom Copeland,extremely high,pmd,src,com,infoether,pmd,ast/ASTClassDeclaration.java
Move Class,pmd/src/com/infoether/pmd/ast/ASTCompilationUnit.java,Tom Copeland,extremely high,pmd,src,com,infoether,pmd,ast/ASTCompilationUnit.java
Move Class,pmd/src/com/infoether/pmd/ast/ASTConditionalAndExpression.java,Tom Copeland,extremely high,pmd,src,com,infoether,pmd,ast/ASTConditionalAndExpression.java
Move Class,pmd/src/com/infoether/pmd/ast/ASTConditionalExpression.java,Tom Copeland,extremely high,pmd,src,com,infoether,pmd,ast/ASTConditionalExpression.java
Move Class,pmd/src/com/infoether/pmd/ast/ASTConditionalOrExpression.java,Tom Copeland,extremely high,pmd,src,com,infoether,pmd,ast/ASTConditionalOrExpression.java
Move Class,pmd/src/com/infoether/pmd/ast/ASTConstructorDeclaration.java,Tom Copeland,extremely high,pmd,src,com,infoether,pmd,ast/ASTConstructorDeclaration.java
Move Class,pmd/src/com/infoether/pmd/ast/ASTContinueStatement.java,Tom Copeland,extremely high,pmd,src,com,infoether,pmd,ast/ASTContinueStatement.java
Move Class,pmd/src/com/infoether/pmd/ast/ASTDoStatement.java,Tom Copeland,extremely high,pmd,src,com,infoether,pmd,ast/ASTDoStatement.java
Move Class,pmd/src/com/infoether/pmd/ast/ASTEmptyStatement.java,Tom Copeland,extremely high,pmd,src,com,infoether,pmd,ast/ASTEmptyStatement.java
Move Class,pmd/src/com/infoether/pmd/ast/ASTEqualityExpression.java,Tom Copeland,extremely high,pmd,src,com,infoether,pmd,ast/ASTEqualityExpression.java
Move Class,pmd/src/com/infoether/pmd/ast/ASTExclusiveOrExpression.java,Tom Copeland,extremely high,pmd,src,com,infoether,pmd,ast/ASTExclusiveOrExpression.java
Move Class,pmd/src/com/infoether/pmd/ast/ASTExplicitConstructorInvocation.java,Tom Copeland,extremely high,pmd,src,com,infoether,pmd,ast/ASTExplicitConstructorInvocation.java
Move Class,pmd/src/com/infoether/pmd/ast/ASTExpression.java,Tom Copeland,extremely high,pmd,src,com,infoether,pmd,ast/ASTExpression.java
Move Class,pmd/src/com/infoether/pmd/ast/ASTFieldDeclaration.java,Tom Copeland,extremely high,pmd,src,com,infoether,pmd,ast/ASTFieldDeclaration.java
Move Class,pmd/src/com/infoether/pmd/ast/ASTForInit.java,Tom Copeland,extremely high,pmd,src,com,infoether,pmd,ast/ASTForInit.java
Move Class,pmd/src/com/infoether/pmd/ast/ASTForStatement.java,Tom Copeland,extremely high,pmd,src,com,infoether,pmd,ast/ASTForStatement.java
Move Class,pmd/src/com/infoether/pmd/ast/ASTForUpdate.java,Tom Copeland,extremely high,pmd,src,com,infoether,pmd,ast/ASTForUpdate.java
Move Class,pmd/src/com/infoether/pmd/ast/ASTFormalParameter.java,Tom Copeland,extremely high,pmd,src,com,infoether,pmd,ast/ASTFormalParameter.java
Move Class,pmd/src/com/infoether/pmd/ast/ASTFormalParameters.java,Tom Copeland,extremely high,pmd,src,com,infoether,pmd,ast/ASTFormalParameters.java
Move Class,pmd/src/com/infoether/pmd/ast/ASTIfStatement.java,Tom Copeland,extremely high,pmd,src,com,infoether,pmd,ast/ASTIfStatement.java
Move Class,pmd/src/com/infoether/pmd/ast/ASTImportDeclaration.java,Tom Copeland,extremely high,pmd,src,com,infoether,pmd,ast/ASTImportDeclaration.java
Move Class,pmd/src/com/infoether/pmd/ast/ASTInclusiveOrExpression.java,Tom Copeland,extremely high,pmd,src,com,infoether,pmd,ast/ASTInclusiveOrExpression.java
Move Class,pmd/src/com/infoether/pmd/ast/ASTInitializer.java,Tom Copeland,extremely high,pmd,src,com,infoether,pmd,ast/ASTInitializer.java
Move Class,pmd/src/com/infoether/pmd/ast/ASTInstanceOfExpression.java,Tom Copeland,extremely high,pmd,src,com,infoether,pmd,ast/ASTInstanceOfExpression.java
Move Class,pmd/src/com/infoether/pmd/ast/ASTInterfaceDeclaration.java,Tom Copeland,extremely high,pmd,src,com,infoether,pmd,ast/ASTInterfaceDeclaration.java
Move Class,pmd/src/com/infoether/pmd/ast/ASTInterfaceMemberDeclaration.java,Tom Copeland,extremely high,pmd,src,com,infoether,pmd,ast/ASTInterfaceMemberDeclaration.java
Move Class,pmd/src/com/infoether/pmd/ast/ASTLabeledStatement.java,Tom Copeland,extremely high,pmd,src,com,infoether,pmd,ast/ASTLabeledStatement.java
Move Class,pmd/src/com/infoether/pmd/ast/ASTLiteral.java,Tom Copeland,extremely high,pmd,src,com,infoether,pmd,ast/ASTLiteral.java
Move Class,pmd/src/com/infoether/pmd/ast/ASTLocalVariableDeclaration.java,Tom Copeland,extremely high,pmd,src,com,infoether,pmd,ast/ASTLocalVariableDeclaration.java
Move Class,pmd/src/com/infoether/pmd/ast/ASTMethodDeclaration.java,Tom Copeland,extremely high,pmd,src,com,infoether,pmd,ast/ASTMethodDeclaration.java
Move Class,pmd/src/com/infoether/pmd/ast/ASTMethodDeclarationLookahead.java,Tom Copeland,extremely high,pmd,src,com,infoether,pmd,ast/ASTMethodDeclarationLookahead.java
Move Class,pmd/src/com/infoether/pmd/ast/ASTMethodDeclarator.java,Tom Copeland,extremely high,pmd,src,com,infoether,pmd,ast/ASTMethodDeclarator.java
Move Class,pmd/src/com/infoether/pmd/ast/ASTMultiplicativeExpression.java,Tom Copeland,extremely high,pmd,src,com,infoether,pmd,ast/ASTMultiplicativeExpression.java
Move Class,pmd/src/com/infoether/pmd/ast/ASTName.java,Tom Copeland,extremely high,pmd,src,com,infoether,pmd,ast/ASTName.java
Move Class,pmd/src/com/infoether/pmd/ast/ASTNameList.java,Tom Copeland,extremely high,pmd,src,com,infoether,pmd,ast/ASTNameList.java
Move Class,pmd/src/com/infoether/pmd/ast/ASTNestedClassDeclaration.java,Tom Copeland,extremely high,pmd,src,com,infoether,pmd,ast/ASTNestedClassDeclaration.java
Move Class,pmd/src/com/infoether/pmd/ast/ASTNestedInterfaceDeclaration.java,Tom Copeland,extremely high,pmd,src,com,infoether,pmd,ast/ASTNestedInterfaceDeclaration.java
Move Class,pmd/src/com/infoether/pmd/ast/ASTNullLiteral.java,Tom Copeland,extremely high,pmd,src,com,infoether,pmd,ast/ASTNullLiteral.java
Move Class,pmd/src/com/infoether/pmd/ast/ASTPackageDeclaration.java,Tom Copeland,extremely high,pmd,src,com,infoether,pmd,ast/ASTPackageDeclaration.java
Move Class,pmd/src/com/infoether/pmd/ast/ASTPostfixExpression.java,Tom Copeland,extremely high,pmd,src,com,infoether,pmd,ast/ASTPostfixExpression.java
Move Class,pmd/src/com/infoether/pmd/ast/ASTPreDecrementExpression.java,Tom Copeland,extremely high,pmd,src,com,infoether,pmd,ast/ASTPreDecrementExpression.java
Move Class,pmd/src/com/infoether/pmd/ast/ASTPreIncrementExpression.java,Tom Copeland,extremely high,pmd,src,com,infoether,pmd,ast/ASTPreIncrementExpression.java
Move Class,pmd/src/com/infoether/pmd/ast/ASTPrimaryExpression.java,Tom Copeland,extremely high,pmd,src,com,infoether,pmd,ast/ASTPrimaryExpression.java
Move Class,pmd/src/com/infoether/pmd/ast/ASTPrimaryPrefix.java,Tom Copeland,extremely high,pmd,src,com,infoether,pmd,ast/ASTPrimaryPrefix.java
Move Class,pmd/src/com/infoether/pmd/ast/ASTPrimarySuffix.java,Tom Copeland,extremely high,pmd,src,com,infoether,pmd,ast/ASTPrimarySuffix.java
Move Class,pmd/src/com/infoether/pmd/ast/ASTPrimitiveType.java,Tom Copeland,extremely high,pmd,src,com,infoether,pmd,ast/ASTPrimitiveType.java
Move Class,pmd/src/com/infoether/pmd/ast/ASTRelationalExpression.java,Tom Copeland,extremely high,pmd,src,com,infoether,pmd,ast/ASTRelationalExpression.java
Move Class,pmd/src/com/infoether/pmd/ast/ASTResultType.java,Tom Copeland,extremely high,pmd,src,com,infoether,pmd,ast/ASTResultType.java
Move Class,pmd/src/com/infoether/pmd/ast/ASTReturnStatement.java,Tom Copeland,extremely high,pmd,src,com,infoether,pmd,ast/ASTReturnStatement.java
Move Class,pmd/src/com/infoether/pmd/ast/ASTShiftExpression.java,Tom Copeland,extremely high,pmd,src,com,infoether,pmd,ast/ASTShiftExpression.java
Move Class,pmd/src/com/infoether/pmd/ast/ASTStatement.java,Tom Copeland,extremely high,pmd,src,com,infoether,pmd,ast/ASTStatement.java
Move Class,pmd/src/com/infoether/pmd/ast/ASTStatementExpression.java,Tom Copeland,extremely high,pmd,src,com,infoether,pmd,ast/ASTStatementExpression.java
Move Class,pmd/src/com/infoether/pmd/ast/ASTStatementExpressionList.java,Tom Copeland,extremely high,pmd,src,com,infoether,pmd,ast/ASTStatementExpressionList.java
Move Class,pmd/src/com/infoether/pmd/ast/ASTSwitchLabel.java,Tom Copeland,extremely high,pmd,src,com,infoether,pmd,ast/ASTSwitchLabel.java
Move Class,pmd/src/com/infoether/pmd/ast/ASTSwitchStatement.java,Tom Copeland,extremely high,pmd,src,com,infoether,pmd,ast/ASTSwitchStatement.java
Move Class,pmd/src/com/infoether/pmd/ast/ASTSynchronizedStatement.java,Tom Copeland,extremely high,pmd,src,com,infoether,pmd,ast/ASTSynchronizedStatement.java
