RefactoringType,FilePath,AuthorName,AuthorGroup,L1,L2,L3,L4,L5,L6
Move Source Folder,src,Hardy Ferentschik,extremely high,src,,,,,
Move Source Folder,hibernate-validator-legacy/src,Hardy Ferentschik,extremely high,hibernate-validator-legacy,src,,,,
Move Source Folder,hibernate-validator-legacy/src/test,Hardy Ferentschik,extremely high,hibernate-validator-legacy,src,test,,,
Extract Variable,hibernate-validator/src/main/java/org/hibernate/validation/engine/ValidatorImpl.java,Emmanuel Bernard,high,hibernate-validator,src,main,java,org,hibernate/validation/engine/ValidatorImpl.java
Rename Method,hibernate-validator/src/main/java/org/hibernate/validation/engine/ValidatorImpl.java,Emmanuel Bernard,high,hibernate-validator,src,main,java,org,hibernate/validation/engine/ValidatorImpl.java
Rename Method,hibernate-validator/src/main/java/org/hibernate/validation/impl/ElementDescriptorImpl.java,Emmanuel Bernard,high,hibernate-validator,src,main,java,org,hibernate/validation/impl/ElementDescriptorImpl.java
Move Attribute,hibernate-validator/src/main/java/org/hibernate/validation/engine/ValidatorImpl.java,Hardy Ferentschik,extremely high,hibernate-validator,src,main,java,org,hibernate/validation/engine/ValidatorImpl.java
Rename Attribute,hibernate-validator/src/main/java/org/hibernate/validation/engine/MetaDataProviderImpl.java,Hardy Ferentschik,extremely high,hibernate-validator,src,main,java,org,hibernate/validation/engine/MetaDataProviderImpl.java
Rename Attribute,hibernate-validator/src/main/java/org/hibernate/validation/impl/ConstraintDescriptorImpl.java,Hardy Ferentschik,extremely high,hibernate-validator,src,main,java,org,hibernate/validation/impl/ConstraintDescriptorImpl.java
Rename Method,hibernate-validator/src/main/java/org/hibernate/validation/engine/MetaDataProviderImpl.java,Hardy Ferentschik,extremely high,hibernate-validator,src,main,java,org,hibernate/validation/engine/MetaDataProviderImpl.java
Rename Method,hibernate-validator/src/main/java/org/hibernate/validation/engine/MetaDataProviderImpl.java,Hardy Ferentschik,extremely high,hibernate-validator,src,main,java,org,hibernate/validation/engine/MetaDataProviderImpl.java
Rename Method,hibernate-validator/src/main/java/org/hibernate/validation/engine/MetaDataProviderImpl.java,Hardy Ferentschik,extremely high,hibernate-validator,src,main,java,org,hibernate/validation/engine/MetaDataProviderImpl.java
Rename Parameter,hibernate-validator/src/main/java/org/hibernate/validation/impl/ConstraintDescriptorImpl.java,Hardy Ferentschik,extremely high,hibernate-validator,src,main,java,org,hibernate/validation/impl/ConstraintDescriptorImpl.java
Rename Variable,hibernate-validator/src/main/java/org/hibernate/validation/engine/ValidatorImpl.java,Hardy Ferentschik,extremely high,hibernate-validator,src,main,java,org,hibernate/validation/engine/ValidatorImpl.java
Rename Variable,hibernate-validator/src/main/java/org/hibernate/validation/engine/ValidatorImpl.java,Hardy Ferentschik,extremely high,hibernate-validator,src,main,java,org,hibernate/validation/engine/ValidatorImpl.java
Rename Variable,hibernate-validator/src/main/java/org/hibernate/validation/engine/MetaDataProviderImpl.java,Hardy Ferentschik,extremely high,hibernate-validator,src,main,java,org,hibernate/validation/engine/MetaDataProviderImpl.java
Rename Variable,hibernate-validator/src/main/java/org/hibernate/validation/engine/MetaDataProviderImpl.java,Hardy Ferentschik,extremely high,hibernate-validator,src,main,java,org,hibernate/validation/engine/MetaDataProviderImpl.java
Rename Variable,hibernate-validator/src/main/java/org/hibernate/validation/engine/MetaDataProviderImpl.java,Hardy Ferentschik,extremely high,hibernate-validator,src,main,java,org,hibernate/validation/engine/MetaDataProviderImpl.java
Rename Variable,hibernate-validator/src/main/java/org/hibernate/validation/engine/ValidatorImpl.java,Hardy Ferentschik,extremely high,hibernate-validator,src,main,java,org,hibernate/validation/engine/ValidatorImpl.java
Rename Variable,hibernate-validator/src/main/java/org/hibernate/validation/engine/ValidatorImpl.java,Hardy Ferentschik,extremely high,hibernate-validator,src,main,java,org,hibernate/validation/engine/ValidatorImpl.java
Rename Variable,hibernate-validator/src/main/java/org/hibernate/validation/engine/ValidatorImpl.java,Hardy Ferentschik,extremely high,hibernate-validator,src,main,java,org,hibernate/validation/engine/ValidatorImpl.java
Extract And Move Method,hibernate-validator/src/main/java/org/hibernate/validation/engine/MetaDataProviderImpl.java,Hardy Ferentschik,extremely high,hibernate-validator,src,main,java,org,hibernate/validation/engine/MetaDataProviderImpl.java
Rename Variable,hibernate-validator/src/main/java/org/hibernate/validation/engine/MetaDataProviderImpl.java,Hardy Ferentschik,extremely high,hibernate-validator,src,main,java,org,hibernate/validation/engine/MetaDataProviderImpl.java
Rename Variable,hibernate-validator/src/main/java/org/hibernate/validation/engine/MetaDataProviderImpl.java,Hardy Ferentschik,extremely high,hibernate-validator,src,main,java,org,hibernate/validation/engine/MetaDataProviderImpl.java
Rename Attribute,hibernate-validator/src/main/java/org/hibernate/validation/engine/ValidationContext.java,Emmanuel Bernard,high,hibernate-validator,src,main,java,org,hibernate/validation/engine/ValidationContext.java
Rename Parameter,hibernate-validator/src/main/java/org/hibernate/validation/engine/ValidatorImpl.java,Emmanuel Bernard,high,hibernate-validator,src,main,java,org,hibernate/validation/engine/ValidatorImpl.java
Rename Parameter,hibernate-validator/src/main/java/org/hibernate/validation/engine/ValidationContext.java,Emmanuel Bernard,high,hibernate-validator,src,main,java,org,hibernate/validation/engine/ValidationContext.java
Rename Parameter,hibernate-validator/src/main/java/org/hibernate/validation/engine/ValidatorImpl.java,Emmanuel Bernard,high,hibernate-validator,src,main,java,org,hibernate/validation/engine/ValidatorImpl.java
Rename Parameter,hibernate-validator/src/main/java/org/hibernate/validation/engine/ValidatorImpl.java,Emmanuel Bernard,high,hibernate-validator,src,main,java,org,hibernate/validation/engine/ValidatorImpl.java
Rename Parameter,hibernate-validator/src/main/java/org/hibernate/validation/engine/ValidatorImpl.java,Emmanuel Bernard,high,hibernate-validator,src,main,java,org,hibernate/validation/engine/ValidatorImpl.java
Rename Variable,hibernate-validator/src/test/java/org/hibernate/validation/engine/ValidatorImplTest.java,Emmanuel Bernard,high,hibernate-validator,src,test,java,org,hibernate/validation/engine/ValidatorImplTest.java
Rename Variable,hibernate-validator/src/test/java/org/hibernate/validation/engine/ValidatorImplTest.java,Emmanuel Bernard,high,hibernate-validator,src,test,java,org,hibernate/validation/engine/ValidatorImplTest.java
Rename Variable,hibernate-validator/src/test/java/org/hibernate/validation/engine/ValidatorImplTest.java,Emmanuel Bernard,high,hibernate-validator,src,test,java,org,hibernate/validation/engine/ValidatorImplTest.java
Rename Variable,hibernate-validator/src/test/java/org/hibernate/validation/engine/ValidatorImplTest.java,Emmanuel Bernard,high,hibernate-validator,src,test,java,org,hibernate/validation/engine/ValidatorImplTest.java
Rename Variable,hibernate-validator/src/test/java/org/hibernate/validation/engine/ValidatorImplTest.java,Emmanuel Bernard,high,hibernate-validator,src,test,java,org,hibernate/validation/engine/ValidatorImplTest.java
Rename Variable,hibernate-validator/src/test/java/org/hibernate/validation/engine/ValidatorImplTest.java,Emmanuel Bernard,high,hibernate-validator,src,test,java,org,hibernate/validation/engine/ValidatorImplTest.java
Rename Variable,hibernate-validator/src/test/java/org/hibernate/validation/bootstrap/ValidationTest.java,Emmanuel Bernard,high,hibernate-validator,src,test,java,org,hibernate/validation/bootstrap/ValidationTest.java
Rename Variable,hibernate-validator/src/test/java/org/hibernate/validation/bootstrap/ValidationTest.java,Emmanuel Bernard,high,hibernate-validator,src,test,java,org,hibernate/validation/bootstrap/ValidationTest.java
Rename Variable,hibernate-validator/src/main/java/org/hibernate/validation/engine/ValidatorImpl.java,Emmanuel Bernard,high,hibernate-validator,src,main,java,org,hibernate/validation/engine/ValidatorImpl.java
Rename Variable,hibernate-validator/src/main/java/org/hibernate/validation/engine/ValidatorImpl.java,Emmanuel Bernard,high,hibernate-validator,src,main,java,org,hibernate/validation/engine/ValidatorImpl.java
Rename Variable,hibernate-validator/src/main/java/org/hibernate/validation/engine/ValidatorImpl.java,Emmanuel Bernard,high,hibernate-validator,src,main,java,org,hibernate/validation/engine/ValidatorImpl.java
Rename Variable,hibernate-validator/src/main/java/org/hibernate/validation/engine/ValidatorImpl.java,Emmanuel Bernard,high,hibernate-validator,src,main,java,org,hibernate/validation/engine/ValidatorImpl.java
Rename Variable,hibernate-validator/src/main/java/org/hibernate/validation/engine/ValidatorImpl.java,Emmanuel Bernard,high,hibernate-validator,src,main,java,org,hibernate/validation/engine/ValidatorImpl.java
Rename Variable,hibernate-validator/src/test/java/org/hibernate/validation/engine/ValidatorImplTest.java,Emmanuel Bernard,high,hibernate-validator,src,test,java,org,hibernate/validation/engine/ValidatorImplTest.java
Rename Variable,hibernate-validator/src/test/java/org/hibernate/validation/engine/ValidatorImplTest.java,Emmanuel Bernard,high,hibernate-validator,src,test,java,org,hibernate/validation/engine/ValidatorImplTest.java
Rename Variable,hibernate-validator/src/test/java/org/hibernate/validation/engine/ValidatorImplTest.java,Emmanuel Bernard,high,hibernate-validator,src,test,java,org,hibernate/validation/engine/ValidatorImplTest.java
Rename Variable,hibernate-validator/src/test/java/org/hibernate/validation/engine/ValidatorImplTest.java,Emmanuel Bernard,high,hibernate-validator,src,test,java,org,hibernate/validation/engine/ValidatorImplTest.java
Rename Variable,hibernate-validator/src/test/java/org/hibernate/validation/engine/ValidatorImplTest.java,Emmanuel Bernard,high,hibernate-validator,src,test,java,org,hibernate/validation/engine/ValidatorImplTest.java
Rename Variable,hibernate-validator/src/test/java/org/hibernate/validation/engine/ValidatorImplTest.java,Emmanuel Bernard,high,hibernate-validator,src,test,java,org,hibernate/validation/engine/ValidatorImplTest.java
Rename Variable,hibernate-validator/src/test/java/org/hibernate/validation/bootstrap/ValidationTest.java,Emmanuel Bernard,high,hibernate-validator,src,test,java,org,hibernate/validation/bootstrap/ValidationTest.java
Rename Variable,hibernate-validator/src/test/java/org/hibernate/validation/bootstrap/ValidationTest.java,Emmanuel Bernard,high,hibernate-validator,src,test,java,org,hibernate/validation/bootstrap/ValidationTest.java
Rename Variable,hibernate-validator/src/test/java/org/hibernate/validation/bootstrap/ValidationTest.java,Emmanuel Bernard,high,hibernate-validator,src,test,java,org,hibernate/validation/bootstrap/ValidationTest.java
Rename Variable,hibernate-validator/src/test/java/org/hibernate/validation/engine/ValidatorImplTest.java,Emmanuel Bernard,high,hibernate-validator,src,test,java,org,hibernate/validation/engine/ValidatorImplTest.java
Rename Variable,hibernate-validator/src/test/java/org/hibernate/validation/engine/ValidatorImplTest.java,Emmanuel Bernard,high,hibernate-validator,src,test,java,org,hibernate/validation/engine/ValidatorImplTest.java
Rename Variable,hibernate-validator/src/test/java/org/hibernate/validation/engine/ValidatorImplTest.java,Emmanuel Bernard,high,hibernate-validator,src,test,java,org,hibernate/validation/engine/ValidatorImplTest.java
Rename Variable,hibernate-validator/src/test/java/org/hibernate/validation/engine/ValidatorImplTest.java,Emmanuel Bernard,high,hibernate-validator,src,test,java,org,hibernate/validation/engine/ValidatorImplTest.java
Rename Method,hibernate-validator/src/main/java/org/hibernate/validation/impl/ConstraintDescriptorImpl.java,Emmanuel Bernard,high,hibernate-validator,src,main,java,org,hibernate/validation/impl/ConstraintDescriptorImpl.java
Rename Method,hibernate-validator/src/main/java/org/hibernate/validation/impl/ConstraintDescriptorImpl.java,Emmanuel Bernard,high,hibernate-validator,src,main,java,org,hibernate/validation/impl/ConstraintDescriptorImpl.java
Extract Interface,hibernate-validator/src/main/java/org/hibernate/validation/impl/ElementDescriptorImpl.java,Emmanuel Bernard,high,hibernate-validator,src,main,java,org,hibernate/validation/impl/ElementDescriptorImpl.java
Rename Method,hibernate-validator/src/main/java/org/hibernate/validation/impl/ElementDescriptorImpl.java,Emmanuel Bernard,high,hibernate-validator,src,main,java,org,hibernate/validation/impl/ElementDescriptorImpl.java
Rename Method,hibernate-validator/src/main/java/org/hibernate/validation/impl/ConstraintDescriptorImpl.java,Emmanuel Bernard,high,hibernate-validator,src,main,java,org,hibernate/validation/impl/ConstraintDescriptorImpl.java
Rename Method,hibernate-validator/src/main/java/org/hibernate/validation/impl/ConstraintViolationImpl.java,Emmanuel Bernard,high,hibernate-validator,src,main,java,org,hibernate/validation/impl/ConstraintViolationImpl.java
Rename Method,hibernate-validator/src/main/java/org/hibernate/validation/engine/ValidatorImpl.java,Emmanuel Bernard,high,hibernate-validator,src,main,java,org,hibernate/validation/engine/ValidatorImpl.java
Rename Method,hibernate-validator/src/main/java/org/hibernate/validation/impl/HibernateValidationProvider.java,Emmanuel Bernard,high,hibernate-validator,src,main,java,org,hibernate/validation/impl/HibernateValidationProvider.java
Rename Method,hibernate-validator/src/main/java/org/hibernate/validation/impl/HibernateValidationProvider.java,Emmanuel Bernard,high,hibernate-validator,src,main,java,org,hibernate/validation/impl/HibernateValidationProvider.java
Rename Method,validation-api/src/main/java/javax/validation/Validation.java,Emmanuel Bernard,high,validation-api,src,main,java,javax,validation/Validation.java
Rename Method,validation-api/src/main/java/javax/validation/Validation.java,Emmanuel Bernard,high,validation-api,src,main,java,javax,validation/Validation.java
Rename Method,validation-api/src/main/java/javax/validation/Validation.java,Emmanuel Bernard,high,validation-api,src,main,java,javax,validation/Validation.java
Extract Interface,hibernate-validator/src/main/java/org/hibernate/validation/impl/ValidatorFactoryBuilderImpl.java,Emmanuel Bernard,high,hibernate-validator,src,main,java,org,hibernate/validation/impl/ValidatorFactoryBuilderImpl.java
