RefactoringType,L1,L2,L3,L4,L5,L6,AuthorGroup
Rename Class,hibernate-validator,src,test,java,org,hibernate/validator/test/constraints/impl/FutureValidatorForAbstractInstantTest.java,low
Pull Up Method,engine,src,main,java,org,hibernate/validator/internal/engine/ConfigurationImpl.java,extremely high
Extract Variable,hibernate-validator,src,main,java,org,hibernate/validator/engine/ValidatorImpl.java,extremely high
Rename Method,engine,src,main,java,org,hibernate/validator/internal/cfg/context/DefaultConstraintMapping.java,medium
Move Attribute,hibernate-validator,src,main,java,org,hibernate/validator/cfg/MethodReturnValueConstraintMappingCreationalContext.java,extremely high
Extract Method,engine,src,main,java,org,hibernate/validator/internal/engine/messageinterpolation/InterpolationTerm.java,medium
Rename Variable,hibernate-validator,src,test,java,org,hibernate/validation/engine/ValidatorImplTest.java,high
Move Class,hibernate-validator,src,main,java,org,hibernate/validation/constraints/PastValidatorForDate.java,high
Move Class,engine,src,main,java,org,hibernate/validator/internal/constraintvalidators/DecimalMinValidatorForNumber.java,medium
Rename Method,hibernate-validator,src,main,java,org,hibernate/validator/metadata/MetaConstraint.java,extremely high
Move Class,engine,src,test,java,org,hibernate/validator/test/internal/constraintvalidators/FutureValidatorForCalendarTest.java,medium
Move Method,hibernate-validator,src,test,java,org,hibernate/validator/test/util/TestUtil.java,high
Rename Attribute,engine,src,main,java,org,hibernate/validator/internal/engine/ConfigurationImpl.java,medium
Rename Variable,hibernate-validator,src,test,java,org,hibernate/validation/bootstrap/ValidationTest.java,high
Rename Variable,annotation-processor,src,main,java,org,hibernate/validator/ap/classchecks/AbstractMethodOverrideCheck.java,high
Rename Method,hibernate-validator,src,main,java,org,hibernate/validation/engine/ValidatorImpl.java,high
Pull Up Method,engine,src,main,java,org,hibernate/validator/messageinterpolation/ResourceBundleMessageInterpolator.java,medium
Move Class,engine,src,main,java,org,hibernate/validator/internal/engine/messageinterpolation/InterpolationTerm.java,medium
Rename Variable,engine,src,main,java,org,hibernate/validator/internal/engine/groups/ValidationOrderGenerator.java,extremely high
Rename Parameter,engine,src,main,java,org,hibernate/validator/internal/engine/constraintvalidation/HibernateConstraintValidatorInitializationContextImpl.java,extremely high
Rename Variable,hibernate-validator,src,test,java,org,hibernate/validation/engine/ValidatorImplTest.java,high
Extract Method,engine,src,main,java,org,hibernate/validator/internal/util/ReflectionHelper.java,low
Extract Method,engine,src,main,java,org,hibernate/validator/internal/engine/StandardValidationContext.java,extremely high
Rename Attribute,engine,src,main,java,org,hibernate/validator/internal/metadata/aggregated/ReturnValueMetaData.java,extremely high
Parameterize Variable,hibernate-validator,src,main,java,org,hibernate/validator/engine/ValidatorFactoryImpl.java,extremely high
Rename Method,engine,src,main,java,org,hibernate/validator/internal/cfg/context/DefaultConstraintMapping.java,medium
Rename Method,hibernate-validator,src,main,java,org,hibernate/validation/engine/ConstraintViolationImpl.java,high
Move Attribute,performance,src,main,java,org,hibernate/validator/performance/cascaded/CascadedValidation.java,high
Pull Up Attribute,cdi,src,main,java,org,hibernate/validator/cdi/internal/ValidationExtension.java,extremely high
Rename Variable,hibernate-validator,src,test,java,org,hibernate/validation/engine/ValidatorImplTest.java,high
Rename Variable,hibernate-validator,src,test,java,org,hibernate/validation/engine/ValidatorImplTest.java,high
Move Class,engine,src,test,java,org,hibernate/validator/test/internal/constraintvalidators/FutureValidatorForCalendarTest.java,medium
Rename Variable,hibernate-validator,src,main,java,org,hibernate/validator/engine/ValidatorImpl.java,high
Pull Up Method,engine,src,test,java,org,hibernate/validator/test/internal/metadata/provider/AnnotationMetaDataProviderTest.java,medium
Move Attribute,engine,src,main,java,org,hibernate/validator/internal/engine/ValidatorImpl.java,high
Rename Variable,engine,src,main,java,org,hibernate/validator/internal/engine/ValidatorFactoryImpl.java,low
Rename Parameter,engine,src,main,java,org,hibernate/validator/internal/engine/constraintvalidation/ComposingConstraintTree.java,high
Extract Class,engine,src,main,java,org,hibernate/validator/internal/engine/valuecontext/ValueContext.java,high
Rename Parameter,engine,src,main,java,org,hibernate/validator/internal/engine/messageinterpolation/parser/EscapedState.java,extremely high
Rename Variable,engine,src,main,java,org,hibernate/validator/internal/metadata/aggregated/BeanMetaDataImpl.java,high
Replace Variable With Attribute,hibernate-validator,src,test,java,org,hibernate/validator/test/metadata/ParameterDescriptorTest.java,extremely high
Pull Up Method,engine,src,main,java,org,hibernate/validator/messageinterpolation/ResourceBundleMessageInterpolator.java,medium
Move Class,engine,src,test,java,org,hibernate/validator/test/internal/constraintvalidators/FutureValidatorForCalendarTest.java,medium
Move Class,engine,src,test,java,org,hibernate/validator/test/internal/constraintvalidators/FutureValidatorForCalendarTest.java,medium
Rename Method,hibernate-validator,src,main,java,org,hibernate/validator/util/ReflectionHelper.java,high
Rename Parameter,engine,src,main,java,org,hibernate/validator/internal/engine/constraintvalidation/ComposingConstraintTree.java,high
Move Attribute,hibernate-validator,src,main,java,org,hibernate/validator/engine/ValidatorContextImpl.java,low
Change Package,org.hibernate.validator.cfg.scriptengine,,,,,,high
Move Attribute,hibernate-validator,src,main,java,org,hibernate/validator/engine/ValidatorContextImpl.java,low
Pull Up Method,engine,src,main,java,org,hibernate/validator/internal/constraintvalidators/ModCheckValidator.java,medium
Move Class,engine,src,test,java,org,hibernate/validator/test/internal/constraintvalidators/FutureValidatorForCalendarTest.java,medium
Move Class,hibernate-validator,src,test,java,org,hibernate/validator/test/engine/groups/redefiningdefaultgroup/OrderedChecks.java,extremely high
Rename Class,engine,src,main,java,org,hibernate/validator/internal/engine/cascading/ObservableValueExtractor.java,extremely high
Pull Up Attribute,engine,src,main,java,org,hibernate/validator/internal/constraintvalidators/ModCheckValidator.java,medium
Rename Method,hibernate-validator,src,main,java,org,hibernate/validation/engine/ConfigurationImpl.java,high
