P_id,P_name,P_url
1,adangel/pmd,https://github.com/adangel/pmd
2,apache/httpclient,https://github.com/apache/httpclient
3,apache/maven-plugins,https://github.com/apache/maven-plugins
4,belaban/jgroups,https://github.com/belaban/jgroups
5,crosswire/jsword,https://github.com/crosswire/jsword
6,davemckain/qtiworks,https://github.com/davemckain/qtiworks
7,eclipse/bpmn2-modeler,https://github.com/eclipse/bpmn2-modeler
8,eclipse/ecf,https://github.com/eclipse/ecf
9,eclipse/vert.x,https://github.com/eclipse/vert.x
10,getrailo/railo,https://github.com/getrailo/railo
11,gitools/gitools,https://github.com/gitools/gitools
12,hbutani/sqlwindowing,https://github.com/hbutani/sqlwindowing
13,hibernate/hibernate-validator,https://github.com/hibernate/hibernate-validator
14,icy-imaging/icy-kernel,https://github.com/icy-imaging/icy-kernel
15,jfxtras/jfxtras-labs,https://github.com/jfxtras/jfxtras-labs
16,merks/xcore,https://github.com/merks/xcore
