Refactoring_id,Commit,Type
1,000102c55f88d2a0c7adb6d1ed4235fc0e2c0dd1,"Change Variable Type"
2,000102c55f88d2a0c7adb6d1ed4235fc0e2c0dd1,"Rename Variable"
3,005c4cad382adb4202ea5dc27867fff7f5f51e08,"Change Attribute Type"
4,005c4cad382adb4202ea5dc27867fff7f5f51e08,"Change Parameter Type"
5,005c4cad382adb4202ea5dc27867fff7f5f51e08,"Rename Attribute"
6,005c4cad382adb4202ea5dc27867fff7f5f51e08,"Rename Parameter"
7,00c8ce9c3cdf89d95f774ec0c6a531ba02aa416c,"Change Attribute Type"
8,00c8ce9c3cdf89d95f774ec0c6a531ba02aa416c,"Change Parameter Type"
9,00c8ce9c3cdf89d95f774ec0c6a531ba02aa416c,"Change Return Type"
10,00c8ce9c3cdf89d95f774ec0c6a531ba02aa416c,"Change Variable Type"
11,00c8ce9c3cdf89d95f774ec0c6a531ba02aa416c,"Rename Attribute"
12,00c8ce9c3cdf89d95f774ec0c6a531ba02aa416c,"Rename Method"
13,00c8ce9c3cdf89d95f774ec0c6a531ba02aa416c,"Rename Parameter"
14,00c8ce9c3cdf89d95f774ec0c6a531ba02aa416c,"Rename Variable"
15,01021516fcd1d343d9b8815ba8e45231ca4afa2a,"Change Attribute Type"
16,01021516fcd1d343d9b8815ba8e45231ca4afa2a,"Change Parameter Type"
17,01021516fcd1d343d9b8815ba8e45231ca4afa2a,"Change Return Type"
18,01021516fcd1d343d9b8815ba8e45231ca4afa2a,"Rename Attribute"
19,01021516fcd1d343d9b8815ba8e45231ca4afa2a,"Rename Method"
20,016665567a4945a45e16c6ec02a83cff89caaeb6,"Change Variable Type"
21,016665567a4945a45e16c6ec02a83cff89caaeb6,"Rename Variable"
22,01f6f16f68a1d78d0e83cd4f413294c97a46571e,"Change Attribute Type"
23,01f6f16f68a1d78d0e83cd4f413294c97a46571e,"Change Parameter Type"
24,01f6f16f68a1d78d0e83cd4f413294c97a46571e,"Change Variable Type"
25,01f6f16f68a1d78d0e83cd4f413294c97a46571e,"Rename Parameter"
26,032e0cbdb4f6c61b438de6d071cc057e246c5c50,"Change Variable Type"
27,032e0cbdb4f6c61b438de6d071cc057e246c5c50,"Rename Variable"
28,03378165b824fa6ea510d8691834ffb89d5c8634,"Change Attribute Type"
29,03378165b824fa6ea510d8691834ffb89d5c8634,"Change Return Type"
30,03378165b824fa6ea510d8691834ffb89d5c8634,"Change Variable Type"
31,03378165b824fa6ea510d8691834ffb89d5c8634,"Move Class"
32,03378165b824fa6ea510d8691834ffb89d5c8634,"Rename Method"
33,034c9874422e29897f0f532ff71e6b7058e43fc6,"Rename Variable"
34,03d5b15e052f340430a9a9ef6f27b4339632a699,"Rename Attribute"
35,041761463d9cace31edb38919d19036f4c228ba9,"Change Attribute Type"
36,041761463d9cace31edb38919d19036f4c228ba9,"Change Parameter Type"
37,041761463d9cace31edb38919d19036f4c228ba9,"Change Variable Type"
38,041761463d9cace31edb38919d19036f4c228ba9,"Move Class"
39,041761463d9cace31edb38919d19036f4c228ba9,"Rename Method"
40,041761463d9cace31edb38919d19036f4c228ba9,"Rename Parameter"
41,041761463d9cace31edb38919d19036f4c228ba9,"Rename Variable"
42,041c01b3830212203f8d575fa49fd6312f420b58,"Rename Attribute"
43,043282f0e63752db1a3f52803ba02941947eb28c,"Change Attribute Type"
44,043282f0e63752db1a3f52803ba02941947eb28c,"Change Parameter Type"
45,0446a989245c7e079522d3fa21b6109371efda56,"Change Variable Type"
46,0446a989245c7e079522d3fa21b6109371efda56,"Rename Variable"
47,0447fd3ddb150141e93f27e70d659b9e55b52d0f,"Change Variable Type"
48,0447fd3ddb150141e93f27e70d659b9e55b52d0f,"Rename Variable"
49,04594b97a9e61931d3af6847b8f8335f0f91c460,"Change Attribute Type"
50,04594b97a9e61931d3af6847b8f8335f0f91c460,"Change Parameter Type"
51,04594b97a9e61931d3af6847b8f8335f0f91c460,"Change Return Type"
52,04594b97a9e61931d3af6847b8f8335f0f91c460,"Change Variable Type"
