RefactoringType,L1,L2,L3,L4,L5,L6,AuthorGroup
Move Class,pmd,src,com,infoether,pmd,ast/ASTAdditiveExpression.java,extremely high
Move Class,pmd,src,com,infoether,pmd,ast/ASTAllocationExpression.java,extremely high
Move Class,pmd,src,com,infoether,pmd,ast/ASTAndExpression.java,extremely high
Move Class,pmd,src,com,infoether,pmd,ast/ASTArgumentList.java,extremely high
Move Class,pmd,src,com,infoether,pmd,ast/ASTArguments.java,extremely high
Move Class,pmd,src,com,infoether,pmd,ast/ASTArrayDimsAndInits.java,extremely high
Move Class,pmd,src,com,infoether,pmd,ast/ASTArrayInitializer.java,extremely high
Move Class,pmd,src,com,infoether,pmd,ast/ASTAssertStatement.java,extremely high
Move Class,pmd,src,com,infoether,pmd,ast/ASTAssignmentOperator.java,extremely high
Move Class,pmd,src,com,infoether,pmd,ast/ASTBlock.java,extremely high
Move Class,pmd,src,com,infoether,pmd,ast/ASTBlockStatement.java,extremely high
Move Class,pmd,src,com,infoether,pmd,ast/ASTBooleanLiteral.java,extremely high
Move Class,pmd,src,com,infoether,pmd,ast/ASTBreakStatement.java,extremely high
Move Class,pmd,src,com,infoether,pmd,ast/ASTCastExpression.java,extremely high
Move Class,pmd,src,com,infoether,pmd,ast/ASTCastLookahead.java,extremely high
Move Class,pmd,src,com,infoether,pmd,ast/ASTClassBody.java,extremely high
Move Class,pmd,src,com,infoether,pmd,ast/ASTClassBodyDeclaration.java,extremely high
Move Class,pmd,src,com,infoether,pmd,ast/ASTClassDeclaration.java,extremely high
Move Class,pmd,src,com,infoether,pmd,ast/ASTCompilationUnit.java,extremely high
Move Class,pmd,src,com,infoether,pmd,ast/ASTConditionalAndExpression.java,extremely high
Move Class,pmd,src,com,infoether,pmd,ast/ASTConditionalExpression.java,extremely high
Move Class,pmd,src,com,infoether,pmd,ast/ASTConditionalOrExpression.java,extremely high
Move Class,pmd,src,com,infoether,pmd,ast/ASTConstructorDeclaration.java,extremely high
Move Class,pmd,src,com,infoether,pmd,ast/ASTContinueStatement.java,extremely high
Move Class,pmd,src,com,infoether,pmd,ast/ASTDoStatement.java,extremely high
Move Class,pmd,src,com,infoether,pmd,ast/ASTEmptyStatement.java,extremely high
Move Class,pmd,src,com,infoether,pmd,ast/ASTEqualityExpression.java,extremely high
Move Class,pmd,src,com,infoether,pmd,ast/ASTExclusiveOrExpression.java,extremely high
Move Class,pmd,src,com,infoether,pmd,ast/ASTExplicitConstructorInvocation.java,extremely high
Move Class,pmd,src,com,infoether,pmd,ast/ASTExpression.java,extremely high
Move Class,pmd,src,com,infoether,pmd,ast/ASTFieldDeclaration.java,extremely high
Move Class,pmd,src,com,infoether,pmd,ast/ASTForInit.java,extremely high
Move Class,pmd,src,com,infoether,pmd,ast/ASTForStatement.java,extremely high
Move Class,pmd,src,com,infoether,pmd,ast/ASTForUpdate.java,extremely high
Move Class,pmd,src,com,infoether,pmd,ast/ASTFormalParameter.java,extremely high
Move Class,pmd,src,com,infoether,pmd,ast/ASTFormalParameters.java,extremely high
Move Class,pmd,src,com,infoether,pmd,ast/ASTIfStatement.java,extremely high
Move Class,pmd,src,com,infoether,pmd,ast/ASTImportDeclaration.java,extremely high
Move Class,pmd,src,com,infoether,pmd,ast/ASTInclusiveOrExpression.java,extremely high
Move Class,pmd,src,com,infoether,pmd,ast/ASTInitializer.java,extremely high
Move Class,pmd,src,com,infoether,pmd,ast/ASTInstanceOfExpression.java,extremely high
Move Class,pmd,src,com,infoether,pmd,ast/ASTInterfaceDeclaration.java,extremely high
Move Class,pmd,src,com,infoether,pmd,ast/ASTInterfaceMemberDeclaration.java,extremely high
Move Class,pmd,src,com,infoether,pmd,ast/ASTLabeledStatement.java,extremely high
Move Class,pmd,src,com,infoether,pmd,ast/ASTLiteral.java,extremely high
