@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,315,0,8100,0,1,1,0.037433,1,0.962567,0.072165,1,1,0
1,304,11,5651,2449,0.697654,0.965079,0.05105,0.965079,0.94895,0.09697,0.707665,1.363752,0.002083
2,304,11,5650,2450,0.697531,0.965079,0.051058,0.965079,0.948942,0.096985,0.707546,1.363981,0.004167
3,304,11,5645,2455,0.696914,0.965079,0.051101,0.965079,0.948899,0.097063,0.706952,1.365127,0.004202
4,304,11,5642,2458,0.696543,0.965079,0.051127,0.965079,0.948873,0.097109,0.706595,1.365816,0.004237
5,304,11,5641,2459,0.69642,0.965079,0.051135,0.965079,0.948865,0.097125,0.706477,1.366046,0.004237
6,304,11,5636,2464,0.695802,0.965079,0.051178,0.965079,0.948822,0.097202,0.705882,1.367196,0.004274
7,304,11,5631,2469,0.695185,0.965079,0.051222,0.965079,0.948778,0.09728,0.705288,1.368348,0.004274
8,304,11,5628,2472,0.694815,0.965079,0.051247,0.965079,0.948753,0.097327,0.704932,1.36904,0.004405
9,304,11,5621,2479,0.693951,0.965079,0.051308,0.965079,0.948692,0.097436,0.7041,1.370657,0.004405
10,303,12,5616,2484,0.693333,0.961905,0.051191,0.961905,0.948809,0.097209,0.703387,1.367533,0.004444
11,303,12,5609,2491,0.692469,0.961905,0.051252,0.961905,0.948748,0.097318,0.702555,1.369152,0.004444
12,302,13,5597,2503,0.690988,0.95873,0.051195,0.95873,0.948805,0.0972,0.70101,1.367641,0.004484
13,302,13,5590,2510,0.690123,0.95873,0.051256,0.95873,0.948744,0.097309,0.700178,1.369266,0.004484
14,302,13,5585,2515,0.689506,0.95873,0.051299,0.95873,0.948701,0.097388,0.699584,1.370429,0.007463
15,301,14,5573,2527,0.688025,0.955556,0.051243,0.955556,0.948757,0.097269,0.698039,1.368914,0.007634
16,300,15,5558,2542,0.686173,0.952381,0.051212,0.952381,0.948788,0.097197,0.696138,1.368092,0.009133
17,300,15,5557,2543,0.686049,0.952381,0.051221,0.952381,0.948779,0.097213,0.696019,1.368326,0.00951
18,300,15,5549,2551,0.685062,0.952381,0.051291,0.952381,0.948709,0.097339,0.695068,1.370198,0.00951
19,300,15,5541,2559,0.684074,0.952381,0.051361,0.952381,0.948639,0.097466,0.694118,1.372074,0.009789
20,300,15,5530,2570,0.682716,0.952381,0.051458,0.952381,0.948542,0.09764,0.69281,1.374663,0.009886
21,300,15,5518,2582,0.681235,0.952381,0.051564,0.952381,0.948436,0.097831,0.691384,1.377498,0.009886
22,300,15,5506,2594,0.679753,0.952381,0.051671,0.952381,0.948329,0.098023,0.689958,1.380345,0.009901
23,300,15,5494,2606,0.678272,0.952381,0.051778,0.952381,0.948222,0.098216,0.688532,1.383204,0.009985
24,300,15,5481,2619,0.676667,0.952381,0.051894,0.952381,0.948106,0.098425,0.686988,1.386315,0.010015
25,295,20,5203,2897,0.642346,0.936508,0.053656,0.936508,0.946344,0.101497,0.653357,1.433378,0.010086
26,295,20,5189,2911,0.640617,0.936508,0.053793,0.936508,0.946207,0.101742,0.651693,1.437038,0.010189
27,295,20,5174,2926,0.638765,0.936508,0.05394,0.936508,0.94606,0.102006,0.649911,1.440979,0.010412
28,291,24,4898,3202,0.604691,0.92381,0.05608,0.92381,0.94392,0.105741,0.616637,1.498142,0.010526
29,291,24,4886,3214,0.60321,0.92381,0.05621,0.92381,0.94379,0.105972,0.615211,1.501614,0.010638
30,291,24,4879,3221,0.602346,0.92381,0.056286,0.92381,0.943714,0.106108,0.614379,1.503647,0.010708
31,288,27,4632,3468,0.571852,0.914286,0.058537,0.914286,0.941463,0.110029,0.58467,1.563763,0.010719
32,285,30,4382,3718,0.540988,0.904762,0.061067,0.904762,0.938933,0.114412,0.554605,1.631363,0.010724
33,282,33,4132,3968,0.510123,0.895238,0.063888,0.895238,0.936112,0.119264,0.52454,1.706712,0.01073
34,279,36,3878,4222,0.478765,0.885714,0.067116,0.885714,0.932884,0.124776,0.493999,1.792948,0.010775
35,276,39,3614,4486,0.446173,0.87619,0.070951,0.87619,0.929049,0.131272,0.46227,1.895409,0.01087
