@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,388,0,8027,0,1,1,0.046108,1,0.953892,0.088152,1,1,0
1,378,10,3909,4118,0.486981,0.974227,0.088174,0.974227,0.911826,0.161711,0.509447,1.912321,0.00028
2,378,10,3893,4134,0.484988,0.974227,0.088504,0.974227,0.911496,0.162267,0.507546,1.919485,0.000282
3,378,10,3880,4147,0.483369,0.974227,0.088774,0.974227,0.911226,0.162721,0.506001,1.925345,0.000551
4,378,10,3879,4148,0.483244,0.974227,0.088795,0.974227,0.911205,0.162756,0.505882,1.925797,0.000551
5,378,10,3854,4173,0.48013,0.974227,0.089319,0.974227,0.910681,0.163636,0.502911,1.937174,0.000551
6,378,10,3853,4174,0.480005,0.974227,0.089341,0.974227,0.910659,0.163672,0.502793,1.937631,0.000551
7,378,10,3852,4175,0.47988,0.974227,0.089362,0.974227,0.910638,0.163707,0.502674,1.938089,0.000551
8,378,10,3849,4178,0.479507,0.974227,0.089425,0.974227,0.910575,0.163814,0.502317,1.939465,0.000551
9,378,10,3848,4179,0.479382,0.974227,0.089446,0.974227,0.910554,0.163849,0.502198,1.939924,0.000551
10,378,10,3838,4189,0.478136,0.974227,0.089658,0.974227,0.910342,0.164205,0.50101,1.944525,0.000551
11,378,10,3834,4193,0.477638,0.974227,0.089744,0.974227,0.910256,0.164348,0.500535,1.946372,0.000551
12,378,10,3833,4194,0.477513,0.974227,0.089765,0.974227,0.910235,0.164384,0.500416,1.946834,0.000551
13,378,10,3832,4195,0.477389,0.974227,0.089786,0.974227,0.910214,0.164419,0.500297,1.947297,0.000553
14,378,10,3831,4196,0.477264,0.974227,0.089808,0.974227,0.910192,0.164455,0.500178,1.947759,0.000553
15,378,10,3808,4219,0.474399,0.974227,0.090301,0.974227,0.909699,0.165282,0.497445,1.958461,0.000554
16,378,10,3791,4236,0.472281,0.974227,0.090669,0.974227,0.909331,0.165899,0.495425,1.966447,0.000823
17,378,10,3780,4247,0.470911,0.974227,0.090909,0.974227,0.909091,0.1663,0.494118,1.971649,0.000823
18,378,10,3764,4263,0.468917,0.974227,0.09126,0.974227,0.90874,0.166887,0.492216,1.979266,0.000827
19,378,10,3763,4264,0.468793,0.974227,0.091282,0.974227,0.908718,0.166924,0.492097,1.979744,0.000827
20,378,10,3741,4286,0.466052,0.974227,0.09177,0.974227,0.90823,0.167739,0.489483,1.990318,0.000828
21,378,10,3717,4310,0.463062,0.974227,0.092308,0.974227,0.907692,0.168637,0.486631,2.001983,0.000828
22,378,10,3716,4311,0.462938,0.974227,0.09233,0.974227,0.90767,0.168675,0.486512,2.002472,0.000829
23,378,10,3713,4314,0.462564,0.974227,0.092398,0.974227,0.907602,0.168788,0.486156,2.00394,0.000829
24,378,10,3711,4316,0.462315,0.974227,0.092443,0.974227,0.907557,0.168863,0.485918,2.00492,0.000829
25,378,10,3709,4318,0.462066,0.974227,0.092488,0.974227,0.907512,0.168939,0.48568,2.005901,0.000829
26,378,10,3707,4320,0.461816,0.974227,0.092534,0.974227,0.907466,0.169014,0.485443,2.006883,0.000829
27,378,10,3706,4321,0.461692,0.974227,0.092556,0.974227,0.907444,0.169052,0.485324,2.007375,0.000829
28,378,10,3705,4322,0.461567,0.974227,0.092579,0.974227,0.907421,0.16909,0.485205,2.007866,0.000829
29,378,10,3704,4323,0.461443,0.974227,0.092602,0.974227,0.907398,0.169128,0.485086,2.008358,0.000829
30,378,10,3702,4325,0.461193,0.974227,0.092647,0.974227,0.907353,0.169203,0.484848,2.009343,0.000829
31,378,10,3700,4327,0.460944,0.974227,0.092692,0.974227,0.907308,0.169279,0.484611,2.010328,0.000829
32,378,10,3695,4332,0.460321,0.974227,0.092806,0.974227,0.907194,0.169469,0.484017,2.012796,0.000829
33,378,10,3689,4338,0.459574,0.974227,0.092943,0.974227,0.907057,0.169697,0.483304,2.015766,0.000829
