@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,5940,0,2475,0,1,1,0.705882,1,0.294118,0.827586,1,1,0
1,5940,0,2474,1,0.999596,1,0.705966,1,0.294034,0.827644,0.999881,1.000119,0
2,5940,0,2473,2,0.999192,1,0.70605,1,0.29395,0.827702,0.999762,1.000238,0
3,5940,0,2472,3,0.998788,1,0.706134,1,0.293866,0.827759,0.999643,1.000357,0
4,5940,0,2471,4,0.998384,1,0.706218,1,0.293782,0.827817,0.999525,1.000476,0
5,5940,0,2470,5,0.99798,1,0.706302,1,0.293698,0.827875,0.999406,1.000595,0
6,5940,0,2469,6,0.997576,1,0.706386,1,0.293614,0.827932,0.999287,1.000714,0
7,5940,0,2468,7,0.997172,1,0.70647,1,0.29353,0.82799,0.999168,1.000833,0
8,5940,0,2467,8,0.996768,1,0.706554,1,0.293446,0.828048,0.999049,1.000952,0
9,5940,0,2466,9,0.996364,1,0.706638,1,0.293362,0.828105,0.99893,1.001071,0
10,5940,0,2465,10,0.99596,1,0.706722,1,0.293278,0.828163,0.998812,1.00119,0
11,5940,0,2464,11,0.995556,1,0.706806,1,0.293194,0.828221,0.998693,1.001309,0
12,5940,0,2463,12,0.995152,1,0.70689,1,0.29311,0.828279,0.998574,1.001428,0
13,5940,0,2462,13,0.994747,1,0.706975,1,0.293025,0.828336,0.998455,1.001547,0
14,5940,0,2461,14,0.994343,1,0.707059,1,0.292941,0.828394,0.998336,1.001666,0
15,5940,0,2460,15,0.993939,1,0.707143,1,0.292857,0.828452,0.998217,1.001786,0
16,5940,0,2459,16,0.993535,1,0.707227,1,0.292773,0.82851,0.998099,1.001905,0
17,5940,0,2458,17,0.993131,1,0.707311,1,0.292689,0.828567,0.99798,1.002024,0
18,5940,0,2457,18,0.992727,1,0.707395,1,0.292605,0.828625,0.997861,1.002144,0
19,5940,0,2456,19,0.992323,1,0.70748,1,0.29252,0.828683,0.997742,1.002263,0
20,5940,0,2455,20,0.991919,1,0.707564,1,0.292436,0.828741,0.997623,1.002382,0
21,5940,0,2454,21,0.991515,1,0.707648,1,0.292352,0.828799,0.997504,1.002502,0
22,5940,0,2453,22,0.991111,1,0.707733,1,0.292267,0.828856,0.997386,1.002621,0
23,5940,0,2452,23,0.990707,1,0.707817,1,0.292183,0.828914,0.997267,1.002741,0
24,5940,0,2451,24,0.990303,1,0.707901,1,0.292099,0.828972,0.997148,1.00286,0
25,5940,0,2450,25,0.989899,1,0.707986,1,0.292014,0.82903,0.997029,1.00298,0
26,5940,0,2449,26,0.989495,1,0.70807,1,0.29193,0.829088,0.99691,1.003099,0
27,5940,0,2447,28,0.988687,1,0.708239,1,0.291761,0.829204,0.996673,1.003339,0
28,5940,0,2446,29,0.988283,1,0.708323,1,0.291677,0.829261,0.996554,1.003458,0
29,5940,0,2445,30,0.987879,1,0.708408,1,0.291592,0.829319,0.996435,1.003578,0
30,5940,0,2444,31,0.987475,1,0.708492,1,0.291508,0.829377,0.996316,1.003698,0
31,5940,0,2443,32,0.987071,1,0.708577,1,0.291423,0.829435,0.996197,1.003817,0
32,5940,0,2442,33,0.986667,1,0.708661,1,0.291339,0.829493,0.996078,1.003937,0
33,5940,0,2441,34,0.986263,1,0.708746,1,0.291254,0.829551,0.99596,1.004057,0
34,5940,0,2440,35,0.985859,1,0.708831,1,0.291169,0.829609,0.995841,1.004177,0
35,5940,0,2439,36,0.985455,1,0.708915,1,0.291085,0.829667,0.995722,1.004296,0
36,5940,0,2438,37,0.985051,1,0.709,1,0.291,0.829725,0.995603,1.004416,0
37,5940,0,2437,38,0.984646,1,0.709084,1,0.290916,0.829783,0.995484,1.004536,0
38,5940,0,2436,39,0.984242,1,0.709169,1,0.290831,0.829841,0.995365,1.004656,0
39,5940,0,2435,40,0.983838,1,0.709254,1,0.290746,0.829899,0.995247,1.004776,0
40,5940,0,2434,41,0.983434,1,0.709338,1,0.290662,0.829957,0.995128,1.004896,0
41,5940,0,2433,42,0.98303,1,0.709423,1,0.290577,0.830015,0.995009,1.005016,0
42,5940,0,2432,43,0.982626,1,0.709508,1,0.290492,0.830073,0.99489,1.005136,0
43,5940,0,2431,44,0.982222,1,0.709593,1,0.290407,0.830131,0.994771,1.005256,0
44,5940,0,2430,45,0.981818,1,0.709677,1,0.290323,0.830189,0.994652,1.005376,0
45,5940,0,2429,46,0.981414,1,0.709762,1,0.290238,0.830247,0.994534,1.005496,0
46,5940,0,2428,47,0.98101,1,0.709847,1,0.290153,0.830305,0.994415,1.005617,0
47,5940,0,2427,48,0.980606,1,0.709932,1,0.290068,0.830363,0.994296,1.005737,0
48,5940,0,2426,49,0.980202,1,0.710017,1,0.289983,0.830421,0.994177,1.005857,0
49,5940,0,2425,50,0.979798,1,0.710102,1,0.289898,0.830479,0.994058,1.005977,0
