@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,1772,0,6643,0,1,1,0.210576,1,0.789424,0.347894,1,1,0
1,1772,0,6642,1,0.999849,1,0.210601,1,0.789399,0.347929,0.999881,1.000119,0
2,1772,0,6641,2,0.999699,1,0.210626,1,0.789374,0.347963,0.999762,1.000238,0
3,1772,0,6640,3,0.999548,1,0.210651,1,0.789349,0.347997,0.999643,1.000357,0
4,1772,0,6639,4,0.999398,1,0.210676,1,0.789324,0.348031,0.999525,1.000476,0
5,1772,0,6638,5,0.999247,1,0.210702,1,0.789298,0.348065,0.999406,1.000595,0
6,1772,0,6637,6,0.999097,1,0.210727,1,0.789273,0.348099,0.999287,1.000714,0
7,1772,0,6636,7,0.998946,1,0.210752,1,0.789248,0.348134,0.999168,1.000833,0
8,1772,0,6635,8,0.998796,1,0.210777,1,0.789223,0.348168,0.999049,1.000952,0
9,1772,0,6634,9,0.998645,1,0.210802,1,0.789198,0.348202,0.99893,1.001071,0
10,1772,0,6633,10,0.998495,1,0.210827,1,0.789173,0.348236,0.998812,1.00119,0
11,1772,0,6632,11,0.998344,1,0.210852,1,0.789148,0.34827,0.998693,1.001309,0
12,1772,0,6631,12,0.998194,1,0.210877,1,0.789123,0.348305,0.998574,1.001428,0
13,1772,0,6630,13,0.998043,1,0.210902,1,0.789098,0.348339,0.998455,1.001547,0
14,1772,0,6629,14,0.997893,1,0.210927,1,0.789073,0.348373,0.998336,1.001666,0
15,1772,0,6628,15,0.997742,1,0.210952,1,0.789048,0.348407,0.998217,1.001786,0
16,1772,0,6627,16,0.997591,1,0.210977,1,0.789023,0.348442,0.998099,1.001905,0
17,1772,0,6626,17,0.997441,1,0.211003,1,0.788997,0.348476,0.99798,1.002024,0
18,1772,0,6625,18,0.99729,1,0.211028,1,0.788972,0.34851,0.997861,1.002144,0
19,1772,0,6624,19,0.99714,1,0.211053,1,0.788947,0.348544,0.997742,1.002263,0
20,1772,0,6623,20,0.996989,1,0.211078,1,0.788922,0.348579,0.997623,1.002382,0
21,1772,0,6622,21,0.996839,1,0.211103,1,0.788897,0.348613,0.997504,1.002502,0
22,1772,0,6620,23,0.996538,1,0.211153,1,0.788847,0.348682,0.997267,1.002741,0
23,1772,0,6619,24,0.996387,1,0.211179,1,0.788821,0.348716,0.997148,1.00286,0
24,1772,0,6618,25,0.996237,1,0.211204,1,0.788796,0.34875,0.997029,1.00298,0
25,1772,0,6617,26,0.996086,1,0.211229,1,0.788771,0.348785,0.99691,1.003099,0
26,1772,0,6616,27,0.995936,1,0.211254,1,0.788746,0.348819,0.996791,1.003219,0
27,1772,0,6615,28,0.995785,1,0.211279,1,0.788721,0.348853,0.996673,1.003339,0
28,1772,0,6614,29,0.995635,1,0.211305,1,0.788695,0.348888,0.996554,1.003458,0
29,1772,0,6613,30,0.995484,1,0.21133,1,0.78867,0.348922,0.996435,1.003578,0
30,1772,0,6612,31,0.995333,1,0.211355,1,0.788645,0.348956,0.996316,1.003698,0
31,1772,0,6611,32,0.995183,1,0.21138,1,0.78862,0.348991,0.996197,1.003817,0
32,1772,0,6610,33,0.995032,1,0.211405,1,0.788595,0.349025,0.996078,1.003937,0
33,1772,0,6609,34,0.994882,1,0.211431,1,0.788569,0.349059,0.99596,1.004057,0
34,1772,0,6608,35,0.994731,1,0.211456,1,0.788544,0.349094,0.995841,1.004177,0
35,1772,0,6607,36,0.994581,1,0.211481,1,0.788519,0.349128,0.995722,1.004296,0
36,1772,0,6606,37,0.99443,1,0.211506,1,0.788494,0.349163,0.995603,1.004416,0
37,1772,0,6605,38,0.99428,1,0.211532,1,0.788468,0.349197,0.995484,1.004536,0
38,1772,0,6604,39,0.994129,1,0.211557,1,0.788443,0.349231,0.995365,1.004656,0
