@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,315,0,8100,0,1,1,0.037433,1,0.962567,0.072165,1,1,0
1,315,0,8099,1,0.999877,1,0.037438,1,0.962562,0.072173,0.999881,1.000119,0
2,315,0,8097,3,0.99963,1,0.037447,1,0.962553,0.07219,0.999643,1.000357,0
3,315,0,8072,28,0.996543,1,0.037558,1,0.962442,0.072397,0.996673,1.003339,0
4,315,0,8070,30,0.996296,1,0.037567,1,0.962433,0.072414,0.996435,1.003578,0
5,315,0,8066,34,0.995802,1,0.037585,1,0.962415,0.072447,0.99596,1.004057,0
6,315,0,8065,35,0.995679,1,0.037589,1,0.962411,0.072455,0.995841,1.004177,0
7,315,0,8061,39,0.995185,1,0.037607,1,0.962393,0.072489,0.995365,1.004656,0
8,315,0,8060,40,0.995062,1,0.037612,1,0.962388,0.072497,0.995247,1.004776,0
9,315,0,8058,42,0.994815,1,0.037621,1,0.962379,0.072514,0.995009,1.005016,0
10,315,0,8048,52,0.99358,1,0.037666,1,0.962334,0.072597,0.993821,1.006218,0
11,315,0,8047,53,0.993457,1,0.03767,1,0.96233,0.072606,0.993702,1.006338,0
12,315,0,8046,54,0.993333,1,0.037675,1,0.962325,0.072614,0.993583,1.006459,0
13,315,0,8043,57,0.992963,1,0.037688,1,0.962312,0.072639,0.993226,1.00682,0
14,315,0,8042,58,0.99284,1,0.037693,1,0.962307,0.072648,0.993108,1.00694,0
15,315,0,8041,59,0.992716,1,0.037697,1,0.962303,0.072656,0.992989,1.007061,0
16,315,0,8020,80,0.990123,1,0.037792,1,0.962208,0.072832,0.990493,1.009598,0
17,315,0,8001,99,0.987778,1,0.037879,1,0.962121,0.072993,0.988235,1.011905,0
18,315,0,7983,117,0.985556,1,0.037961,1,0.962039,0.073145,0.986096,1.0141,0
19,315,0,7982,118,0.985432,1,0.037966,1,0.962034,0.073154,0.985977,1.014222,0
20,315,0,7981,119,0.985309,1,0.03797,1,0.96203,0.073162,0.985859,1.014344,0
21,315,0,7980,120,0.985185,1,0.037975,1,0.962025,0.073171,0.98574,1.014467,0
22,315,0,7979,121,0.985062,1,0.037979,1,0.962021,0.073179,0.985621,1.014589,0
23,315,0,7978,122,0.984938,1,0.037984,1,0.962016,0.073188,0.985502,1.014711,0
24,315,0,7953,147,0.981852,1,0.038099,1,0.961901,0.073401,0.982531,1.017779,0
25,315,0,7939,161,0.980123,1,0.038163,1,0.961837,0.073521,0.980867,1.019506,0
26,315,0,7938,162,0.98,1,0.038168,1,0.961832,0.073529,0.980749,1.019629,0
27,315,0,7937,163,0.979877,1,0.038173,1,0.961827,0.073538,0.98063,1.019753,0
28,315,0,7936,164,0.979753,1,0.038177,1,0.961823,0.073547,0.980511,1.019876,0
29,315,0,7913,187,0.976914,1,0.038284,1,0.961716,0.073745,0.977778,1.022727,0
30,315,0,7898,202,0.975062,1,0.038354,1,0.961646,0.073874,0.975995,1.024595,0
31,315,0,7897,203,0.974938,1,0.038358,1,0.961642,0.073883,0.975876,1.02472,0
32,315,0,7874,226,0.972099,1,0.038466,1,0.961534,0.074083,0.973143,1.027598,0
33,315,0,7873,227,0.971975,1,0.038471,1,0.961529,0.074091,0.973024,1.027723,0
34,315,0,7872,228,0.971852,1,0.038476,1,0.961524,0.0741,0.972906,1.027849,0
35,315,0,7871,229,0.971728,1,0.03848,1,0.96152,0.074109,0.972787,1.027975,0
36,315,0,7870,230,0.971605,1,0.038485,1,0.961515,0.074118,0.972668,1.0281,0
37,315,0,7869,231,0.971481,1,0.03849,1,0.96151,0.074126,0.972549,1.028226,0
38,315,0,7868,232,0.971358,1,0.038494,1,0.961506,0.074135,0.97243,1.028351,0
39,315,0,7867,233,0.971235,1,0.038499,1,0.961501,0.074144,0.972311,1.028477,0
40,315,0,7866,234,0.971111,1,0.038504,1,0.961496,0.074153,0.972193,1.028603,0
41,315,0,7865,235,0.970988,1,0.038509,1,0.961491,0.074161,0.972074,1.028729,0
42,315,0,7863,237,0.970741,1,0.038518,1,0.961482,0.074179,0.971836,1.02898,0
43,315,0,7862,238,0.970617,1,0.038523,1,0.961477,0.074187,0.971717,1.029106,0
44,315,0,7861,239,0.970494,1,0.038527,1,0.961473,0.074196,0.971598,1.029232,0
45,315,0,7860,240,0.97037,1,0.038532,1,0.961468,0.074205,0.97148,1.029358,0
46,315,0,7859,241,0.970247,1,0.038537,1,0.961463,0.074214,0.971361,1.029484,0
47,315,0,7858,242,0.970123,1,0.038542,1,0.961458,0.074222,0.971242,1.02961,0
48,315,0,7857,243,0.97,1,0.038546,1,0.961454,0.074231,0.971123,1.029736,0
49,315,0,7856,244,0.969877,1,0.038551,1,0.961449,0.07424,0.971004,1.029862,0
50,315,0,7855,245,0.969753,1,0.038556,1,0.961444,0.074249,0.970885,1.029988,0
51,315,0,7854,246,0.96963,1,0.03856,1,0.96144,0.074257,0.970766,1.030114,0
52,315,0,7853,247,0.969506,1,0.038565,1,0.961435,0.074266,0.970648,1.03024,0
53,315,0,7851,249,0.969259,1,0.038575,1,0.961425,0.074284,0.97041,1.030492,0
54,315,0,7850,250,0.969136,1,0.038579,1,0.961421,0.074292,0.970291,1.030618,0
55,315,0,7848,252,0.968889,1,0.038589,1,0.961411,0.07431,0.970053,1.030871,0
56,315,0,7847,253,0.968765,1,0.038593,1,0.961407,0.074319,0.969935,1.030997,0
57,315,0,7846,254,0.968642,1,0.038598,1,0.961402,0.074328,0.969816,1.031124,0
58,315,0,7845,255,0.968519,1,0.038603,1,0.961397,0.074336,0.969697,1.03125,0
59,315,0,7843,257,0.968272,1,0.038612,1,0.961388,0.074354,0.969459,1.031503,0
60,315,0,7842,258,0.968148,1,0.038617,1,0.961383,0.074363,0.96934,1.031629,0
61,315,0,7841,259,0.968025,1,0.038622,1,0.961378,0.074371,0.969222,1.031756,0
62,315,0,7839,261,0.967778,1,0.038631,1,0.961369,0.074389,0.968984,1.032009,0
63,315,0,7837,263,0.967531,1,0.038641,1,0.961359,0.074407,0.968746,1.032262,0
64,315,0,7835,265,0.967284,1,0.03865,1,0.96135,0.074424,0.968509,1.032515,0
65,315,0,7834,266,0.96716,1,0.038655,1,0.961345,0.074433,0.96839,1.032642,0
66,315,0,7832,268,0.966914,1,0.038665,1,0.961335,0.07445,0.968152,1.032896,0
67,315,0,7831,269,0.96679,1,0.038669,1,0.961331,0.074459,0.968033,1.033022,0
68,315,0,7830,270,0.966667,1,0.038674,1,0.961326,0.074468,0.967914,1.033149,0
69,315,0,7827,273,0.966296,1,0.038688,1,0.961312,0.074495,0.967558,1.03353,0
70,315,0,7824,276,0.965926,1,0.038703,1,0.961297,0.074521,0.967201,1.033911,0
71,315,0,7822,278,0.965679,1,0.038712,1,0.961288,0.074539,0.966964,1.034165,0
72,315,0,7820,280,0.965432,1,0.038722,1,0.961278,0.074556,0.966726,1.034419,0
73,315,0,7818,282,0.965185,1,0.038731,1,0.961269,0.074574,0.966488,1.034674,0
74,315,0,7817,283,0.965062,1,0.038736,1,0.961264,0.074583,0.96637,1.034801,0
75,315,0,7814,286,0.964691,1,0.03875,1,0.96125,0.074609,0.966013,1.035183,0
76,315,0,7813,287,0.964568,1,0.038755,1,0.961245,0.074618,0.965894,1.03531,0
77,315,0,7812,288,0.964444,1,0.03876,1,0.96124,0.074627,0.965775,1.035437,0
78,315,0,7810,290,0.964198,1,0.038769,1,0.961231,0.074645,0.965538,1.035692,0
79,315,0,7809,291,0.964074,1,0.038774,1,0.961226,0.074653,0.965419,1.03582,0
80,315,0,7808,292,0.963951,1,0.038779,1,0.961221,0.074662,0.9653,1.035947,0
81,315,0,7806,294,0.963704,1,0.038788,1,0.961212,0.07468,0.965062,1.036202,0
82,315,0,7804,296,0.963457,1,0.038798,1,0.961202,0.074698,0.964825,1.036458,0
83,315,0,7802,298,0.96321,1,0.038807,1,0.961193,0.074715,0.964587,1.036713,0
84,315,0,7801,299,0.963086,1,0.038812,1,0.961188,0.074724,0.964468,1.036841,0
85,315,0,7800,300,0.962963,1,0.038817,1,0.961183,0.074733,0.964349,1.036969,0
86,315,0,7798,302,0.962716,1,0.038827,1,0.961173,0.074751,0.964112,1.037224,0
87,315,0,7796,304,0.962469,1,0.038836,1,0.961164,0.074769,0.963874,1.03748,0
88,315,0,7795,305,0.962346,1,0.038841,1,0.961159,0.074777,0.963755,1.037608,0
89,315,0,7794,306,0.962222,1,0.038846,1,0.961154,0.074786,0.963636,1.037736,0
90,315,0,7793,307,0.962099,1,0.038851,1,0.961149,0.074795,0.963518,1.037864,0
91,315,0,7792,308,0.961975,1,0.038855,1,0.961145,0.074804,0.963399,1.037992,0
