@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,388,0,8027,0,1,1,0.046108,1,0.953892,0.088152,1,1,0
1,388,0,8025,2,0.999751,1,0.046119,1,0.953881,0.088172,0.999762,1.000238,0
2,388,0,8022,5,0.999377,1,0.046136,1,0.953864,0.088202,0.999406,1.000595,0
3,388,0,8019,8,0.999003,1,0.046152,1,0.953848,0.088232,0.999049,1.000952,0
4,388,0,8017,10,0.998754,1,0.046163,1,0.953837,0.088252,0.998812,1.00119,0
5,388,0,8015,12,0.998505,1,0.046174,1,0.953826,0.088272,0.998574,1.001428,0
6,388,0,8013,14,0.998256,1,0.046185,1,0.953815,0.088292,0.998336,1.001666,0
7,388,0,8009,18,0.997758,1,0.046207,1,0.953793,0.088332,0.997861,1.002144,0
8,388,0,8006,21,0.997384,1,0.046223,1,0.953777,0.088363,0.997504,1.002502,0
9,388,0,8005,22,0.997259,1,0.046229,1,0.953771,0.088373,0.997386,1.002621,0
10,388,0,8004,23,0.997135,1,0.046235,1,0.953765,0.088383,0.997267,1.002741,0
11,388,0,8003,24,0.99701,1,0.04624,1,0.95376,0.088393,0.997148,1.00286,0
12,388,0,8001,26,0.996761,1,0.046251,1,0.953749,0.088413,0.99691,1.003099,0
13,388,0,7999,28,0.996512,1,0.046262,1,0.953738,0.088433,0.996673,1.003339,0
14,388,0,7995,32,0.996013,1,0.046284,1,0.953716,0.088473,0.996197,1.003817,0
15,388,0,7994,33,0.995889,1,0.04629,1,0.95371,0.088483,0.996078,1.003937,0
16,388,0,7993,34,0.995764,1,0.046295,1,0.953705,0.088494,0.99596,1.004057,0
17,388,0,7990,37,0.995391,1,0.046312,1,0.953688,0.088524,0.995603,1.004416,0
18,388,0,7989,38,0.995266,1,0.046317,1,0.953683,0.088534,0.995484,1.004536,0
19,388,0,7988,39,0.995141,1,0.046323,1,0.953677,0.088544,0.995365,1.004656,0
20,388,0,7987,40,0.995017,1,0.046328,1,0.953672,0.088554,0.995247,1.004776,0
21,388,0,7986,41,0.994892,1,0.046334,1,0.953666,0.088564,0.995128,1.004896,0
22,388,0,7984,43,0.994643,1,0.046345,1,0.953655,0.088584,0.99489,1.005136,0
23,388,0,7983,44,0.994519,1,0.04635,1,0.95365,0.088595,0.994771,1.005256,0
24,388,0,7982,45,0.994394,1,0.046356,1,0.953644,0.088605,0.994652,1.005376,0
25,388,0,7980,47,0.994145,1,0.046367,1,0.953633,0.088625,0.994415,1.005617,0
26,388,0,7979,48,0.99402,1,0.046373,1,0.953627,0.088635,0.994296,1.005737,0
27,388,0,7978,49,0.993896,1,0.046378,1,0.953622,0.088645,0.994177,1.005857,0
28,388,0,7975,52,0.993522,1,0.046395,1,0.953605,0.088676,0.993821,1.006218,0
29,388,0,7974,53,0.993397,1,0.0464,1,0.9536,0.088686,0.993702,1.006338,0
30,388,0,7968,59,0.99265,1,0.046434,1,0.953566,0.088747,0.992989,1.007061,0
31,388,0,7967,60,0.992525,1,0.046439,1,0.953561,0.088757,0.99287,1.007181,0
32,388,0,7966,61,0.992401,1,0.046445,1,0.953555,0.088767,0.992751,1.007302,0
33,388,0,7965,62,0.992276,1,0.04645,1,0.95355,0.088777,0.992632,1.007422,0
34,388,0,7964,63,0.992151,1,0.046456,1,0.953544,0.088787,0.992513,1.007543,0
35,388,0,7963,64,0.992027,1,0.046462,1,0.953538,0.088797,0.992395,1.007664,0
36,388,0,7960,67,0.991653,1,0.046478,1,0.953522,0.088828,0.992038,1.008026,0
37,388,0,7958,69,0.991404,1,0.046489,1,0.953511,0.088848,0.9918,1.008267,0
38,388,0,7957,70,0.991279,1,0.046495,1,0.953505,0.088858,0.991682,1.008388,0
39,388,0,7956,71,0.991155,1,0.0465,1,0.9535,0.088869,0.991563,1.008509,0
40,388,0,7955,72,0.99103,1,0.046506,1,0.953494,0.088879,0.991444,1.00863,0
41,388,0,7954,73,0.990906,1,0.046512,1,0.953488,0.088889,0.991325,1.008751,0
42,388,0,7953,74,0.990781,1,0.046517,1,0.953483,0.088899,0.991206,1.008872,0
43,388,0,7952,75,0.990657,1,0.046523,1,0.953477,0.088909,0.991087,1.008993,0
44,388,0,7950,77,0.990407,1,0.046534,1,0.953466,0.08893,0.99085,1.009235,0
45,388,0,7949,78,0.990283,1,0.04654,1,0.95346,0.08894,0.990731,1.009356,0
46,388,0,7947,80,0.990034,1,0.046551,1,0.953449,0.08896,0.990493,1.009598,0
47,388,0,7946,81,0.989909,1,0.046556,1,0.953444,0.08897,0.990374,1.009719,0
48,388,0,7945,82,0.989784,1,0.046562,1,0.953438,0.088981,0.990255,1.00984,0
49,388,0,7944,83,0.98966,1,0.046567,1,0.953433,0.088991,0.990137,1.009962,0
50,388,0,7943,84,0.989535,1,0.046573,1,0.953427,0.089001,0.990018,1.010083,0
51,388,0,7942,85,0.989411,1,0.046579,1,0.953421,0.089011,0.989899,1.010204,0
52,388,0,7940,87,0.989162,1,0.04659,1,0.95341,0.089032,0.989661,1.010447,0
53,388,0,7939,88,0.989037,1,0.046595,1,0.953405,0.089042,0.989542,1.010568,0
54,388,0,7937,90,0.988788,1,0.046607,1,0.953393,0.089062,0.989305,1.010811,0
55,388,0,7927,100,0.987542,1,0.046663,1,0.953337,0.089165,0.988116,1.012026,0
56,388,0,7926,101,0.987417,1,0.046668,1,0.953332,0.089175,0.987998,1.012148,0
57,388,0,7925,102,0.987293,1,0.046674,1,0.953326,0.089185,0.987879,1.01227,0
58,388,0,7924,103,0.987168,1,0.046679,1,0.953321,0.089195,0.98776,1.012392,0
59,388,0,7910,117,0.985424,1,0.046758,1,0.953242,0.089339,0.986096,1.0141,0
60,388,0,7908,119,0.985175,1,0.04677,1,0.95323,0.08936,0.985859,1.014344,0
61,388,0,7906,121,0.984926,1,0.046781,1,0.953219,0.08938,0.985621,1.014589,0
62,388,0,7905,122,0.984801,1,0.046786,1,0.953214,0.089391,0.985502,1.014711,0
63,388,0,7887,140,0.982559,1,0.046888,1,0.953112,0.089576,0.983363,1.016918,0
64,388,0,7886,141,0.982434,1,0.046894,1,0.953106,0.089587,0.983244,1.017041,0
65,388,0,7884,143,0.982185,1,0.046905,1,0.953095,0.089607,0.983007,1.017287,0
66,388,0,7863,164,0.979569,1,0.047025,1,0.952975,0.089825,0.980511,1.019876,0
67,388,0,7844,183,0.977202,1,0.047133,1,0.952867,0.090023,0.978253,1.02223,0
68,388,0,7829,198,0.975333,1,0.047219,1,0.952781,0.09018,0.976471,1.024096,0
69,388,0,7804,223,0.972219,1,0.047363,1,0.952637,0.090443,0.9735,1.027222,0
70,388,0,7781,246,0.969353,1,0.047497,1,0.952503,0.090686,0.970766,1.030114,0
71,388,0,7756,271,0.966239,1,0.047642,1,0.952358,0.090952,0.967796,1.033276,0
72,388,0,7755,272,0.966114,1,0.047648,1,0.952352,0.090962,0.967677,1.033403,0
73,388,0,7732,295,0.963249,1,0.047783,1,0.952217,0.091208,0.964944,1.03633,0
74,388,0,7731,296,0.963124,1,0.047789,1,0.952211,0.091219,0.964825,1.036458,0
75,388,0,7729,298,0.962875,1,0.047801,1,0.952199,0.09124,0.964587,1.036713,0
76,388,0,7727,300,0.962626,1,0.047813,1,0.952187,0.091262,0.964349,1.036969,0
77,388,0,7726,301,0.962502,1,0.047819,1,0.952181,0.091273,0.964231,1.037096,0
78,388,0,7725,302,0.962377,1,0.047824,1,0.952176,0.091283,0.964112,1.037224,0
79,388,0,7724,303,0.962252,1,0.04783,1,0.95217,0.091294,0.963993,1.037352,0
80,388,0,7723,304,0.962128,1,0.047836,1,0.952164,0.091305,0.963874,1.03748,0
81,388,0,7722,305,0.962003,1,0.047842,1,0.952158,0.091316,0.963755,1.037608,0
82,388,0,7720,307,0.961754,1,0.047854,1,0.952146,0.091337,0.963518,1.037864,0
83,388,0,7719,308,0.96163,1,0.04786,1,0.95214,0.091348,0.963399,1.037992,0
84,388,0,7718,309,0.961505,1,0.047866,1,0.952134,0.091359,0.96328,1.03812,0
85,388,0,7717,310,0.96138,1,0.047872,1,0.952128,0.091369,0.963161,1.038248,0
86,388,0,7713,314,0.960882,1,0.047895,1,0.952105,0.091412,0.962686,1.038761,0
