@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,388,0,8027,0,1,1,0.046108,1,0.953892,0.088152,1,1,0
1,385,3,6407,1620,0.798181,0.992268,0.056684,0.992268,0.943316,0.107242,0.80713,1.229378,0.000001
2,385,3,6406,1621,0.798057,0.992268,0.056693,0.992268,0.943307,0.107257,0.807011,1.229559,0.000001
3,385,3,6404,1623,0.797807,0.992268,0.056709,0.992268,0.943291,0.107287,0.806774,1.229921,0.000001
4,385,3,6403,1624,0.797683,0.992268,0.056718,0.992268,0.943282,0.107302,0.806655,1.230102,0.000001
5,385,3,6402,1625,0.797558,0.992268,0.056726,0.992268,0.943274,0.107317,0.806536,1.230284,0.000001
6,385,3,6400,1627,0.797309,0.992268,0.056743,0.992268,0.943257,0.107347,0.806298,1.230646,0.000001
7,385,3,6399,1628,0.797185,0.992268,0.056751,0.992268,0.943249,0.107362,0.806179,1.230828,0.000001
8,385,3,6397,1630,0.796935,0.992268,0.056768,0.992268,0.943232,0.107392,0.805942,1.231191,0.000003
9,385,3,6396,1631,0.796811,0.992268,0.056776,0.992268,0.943224,0.107407,0.805823,1.231372,0.000003
10,385,3,6395,1632,0.796686,0.992268,0.056785,0.992268,0.943215,0.107422,0.805704,1.231554,0.000003
11,385,3,6393,1634,0.796437,0.992268,0.056801,0.992268,0.943199,0.107452,0.805466,1.231917,0.000003
12,385,3,6392,1635,0.796312,0.992268,0.05681,0.992268,0.94319,0.107467,0.805348,1.232099,0.000003
13,385,3,6391,1636,0.796188,0.992268,0.056818,0.992268,0.943182,0.107482,0.805229,1.232281,0.000003
14,385,3,6390,1637,0.796063,0.992268,0.056827,0.992268,0.943173,0.107497,0.80511,1.232463,0.000003
15,385,3,6389,1638,0.795939,0.992268,0.056835,0.992268,0.943165,0.107512,0.804991,1.232645,0.000003
16,385,3,6388,1639,0.795814,0.992268,0.056843,0.992268,0.943157,0.107527,0.804872,1.232827,0.000003
17,385,3,6386,1641,0.795565,0.992268,0.05686,0.992268,0.94314,0.107557,0.804635,1.233191,0.000003
18,385,3,6385,1642,0.79544,0.992268,0.056869,0.992268,0.943131,0.107572,0.804516,1.233373,0.000003
19,385,3,6384,1643,0.795316,0.992268,0.056877,0.992268,0.943123,0.107587,0.804397,1.233555,0.000003
20,385,3,6382,1645,0.795067,0.992268,0.056894,0.992268,0.943106,0.107617,0.804159,1.23392,0.000003
21,385,3,6381,1646,0.794942,0.992268,0.056902,0.992268,0.943098,0.107632,0.80404,1.234102,0.000003
22,385,3,6380,1647,0.794817,0.992268,0.056911,0.992268,0.943089,0.107647,0.803922,1.234285,0.000003
23,385,3,6378,1649,0.794568,0.992268,0.056927,0.992268,0.943073,0.107677,0.803684,1.23465,0.000003
24,385,3,6377,1650,0.794444,0.992268,0.056936,0.992268,0.943064,0.107692,0.803565,1.234832,0.000003
25,385,3,6376,1651,0.794319,0.992268,0.056944,0.992268,0.943056,0.107707,0.803446,1.235015,0.000004
26,385,3,6375,1652,0.794195,0.992268,0.056953,0.992268,0.943047,0.107722,0.803327,1.235198,0.000004
