@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,5940,0,2475,0,1,1,0.705882,1,0.294118,0.827586,1,1,0
1,5933,7,1841,634,0.743838,0.998822,0.763185,0.998822,0.236815,0.865247,0.923827,1.081179,0.00586
2,5933,7,1828,647,0.738586,0.998822,0.764463,0.998822,0.235537,0.866068,0.922282,1.08299,0.006091
3,5933,7,1812,663,0.732121,0.998822,0.766043,0.998822,0.233957,0.867081,0.92038,1.085227,0.014963
4,5933,7,1795,680,0.725253,0.998822,0.767728,0.998822,0.232272,0.868159,0.91836,1.087614,0.015152
5,5932,8,1785,690,0.721212,0.998653,0.768692,0.998653,0.231308,0.868712,0.917053,1.088981,0.015625
6,5931,9,1773,702,0.716364,0.998485,0.76986,0.998485,0.23014,0.869393,0.915508,1.090635,0.015921
7,5931,9,1757,718,0.709899,0.998485,0.771462,0.998485,0.228538,0.870414,0.913607,1.092905,0.015991
8,5931,9,1756,719,0.709495,0.998485,0.771562,0.998485,0.228438,0.870478,0.913488,1.093047,0.015991
9,5931,9,1731,744,0.699394,0.998485,0.77408,0.998485,0.22592,0.872078,0.910517,1.096613,0.015991
10,5931,9,1730,745,0.69899,0.998485,0.774181,0.998485,0.225819,0.872142,0.910398,1.096756,0.015991
11,5931,9,1728,747,0.698182,0.998485,0.774383,0.998485,0.225617,0.87227,0.91016,1.097043,0.015991
12,5930,10,1723,752,0.696162,0.998316,0.77486,0.998316,0.22514,0.872508,0.909447,1.097718,0.015991
13,5930,10,1722,753,0.695758,0.998316,0.774961,0.998316,0.225039,0.872572,0.909329,1.097861,0.01604
14,5930,10,1694,781,0.684444,0.998316,0.777807,0.998316,0.222193,0.874373,0.906001,1.101893,0.016191
15,5930,10,1683,792,0.68,0.998316,0.778931,0.998316,0.221069,0.875083,0.904694,1.103485,0.01628
16,5930,10,1659,816,0.670303,0.998316,0.781394,0.998316,0.218606,0.876635,0.901842,1.106975,0.016823
17,5930,10,1637,838,0.661414,0.998316,0.783666,0.998316,0.216334,0.878063,0.899228,1.110193,0.016992
18,5930,10,1625,850,0.656566,0.998316,0.784911,0.998316,0.215089,0.878844,0.897802,1.111957,0.016992
19,5929,11,1622,853,0.655354,0.998148,0.785194,0.998148,0.214806,0.878956,0.897326,1.112358,0.016992
20,5929,11,1621,854,0.654949,0.998148,0.785298,0.998148,0.214702,0.879021,0.897207,1.112506,0.016992
21,5929,11,1620,855,0.654545,0.998148,0.785402,0.998148,0.214598,0.879087,0.897089,1.112653,0.017137
22,5929,11,1618,857,0.653737,0.998148,0.78561,0.998148,0.21439,0.879217,0.896851,1.112948,0.017137
23,5929,11,1612,863,0.651313,0.998148,0.786235,0.998148,0.213765,0.879608,0.896138,1.113833,0.017137
24,5929,11,1611,864,0.650909,0.998148,0.78634,0.998148,0.21366,0.879674,0.896019,1.113981,0.017137
25,5929,11,1608,867,0.649697,0.998148,0.786653,0.998148,0.213347,0.879869,0.895663,1.114424,0.017684
26,5929,11,1585,890,0.640404,0.998148,0.78906,0.998148,0.21094,0.881374,0.892929,1.117836,0.027027
27,5929,11,1582,893,0.639192,0.998148,0.789376,0.998148,0.210624,0.88157,0.892573,1.118282,0.027397
28,5929,11,1578,897,0.637576,0.998148,0.789796,0.998148,0.210204,0.881832,0.892097,1.118878,0.028169
29,5929,11,1560,915,0.630303,0.998148,0.791694,0.998148,0.208306,0.883014,0.889958,1.121567,0.028571
30,5929,11,1546,929,0.624646,0.998148,0.793177,0.998148,0.206823,0.883936,0.888295,1.123668,0.031746
31,5929,11,1532,943,0.61899,0.998148,0.794666,0.998148,0.205334,0.884859,0.886631,1.125776,0.041667
32,5929,11,1528,947,0.617374,0.998148,0.795092,0.998148,0.204908,0.885124,0.886156,1.12638,0.043478
33,5929,11,1526,949,0.616566,0.998148,0.795305,0.998148,0.204695,0.885256,0.885918,1.126682,0.045455
34,5928,12,1522,953,0.614949,0.99798,0.795705,0.99798,0.204295,0.885437,0.885324,1.127248,0.047619
35,5927,13,1512,963,0.610909,0.997811,0.796747,0.997811,0.203253,0.886015,0.884017,1.128725,0.05
36,5927,13,1507,968,0.608889,0.997811,0.797283,0.997811,0.202717,0.886347,0.883422,1.129484,0.086957
37,5927,13,1505,970,0.608081,0.997811,0.797497,0.997811,0.202503,0.886479,0.883185,1.129788,0.090909
38,5927,13,1503,972,0.607273,0.997811,0.797712,0.997811,0.202288,0.886612,0.882947,1.130092,0.095238
39,5927,13,1497,978,0.604848,0.997811,0.798357,0.997811,0.201643,0.88701,0.882234,1.131005,0.099556
40,5926,14,1497,978,0.604848,0.997643,0.79833,0.997643,0.20167,0.886927,0.882115,1.130967,0.1
41,5926,14,1491,984,0.602424,0.997643,0.798975,0.997643,0.201025,0.887325,0.881402,1.131882,0.105263
42,5926,14,1486,989,0.600404,0.997643,0.799514,0.997643,0.200486,0.887657,0.880808,1.132645,0.111111
43,5924,16,1482,993,0.598788,0.997306,0.799892,0.997306,0.200108,0.887757,0.880095,1.13318,0.124466
44,5924,16,1481,994,0.598384,0.997306,0.8,0.997306,0.2,0.887823,0.879976,1.133333,0.12447
45,5924,16,1480,995,0.59798,0.997306,0.800108,0.997306,0.199892,0.88789,0.879857,1.133486,0.125
46,5923,17,1475,1000,0.59596,0.997138,0.800622,0.997138,0.199378,0.888139,0.879144,1.134214,0.142217
47,5923,17,1473,1002,0.595152,0.997138,0.800838,0.997138,0.199162,0.888272,0.878907,1.134521,0.142228
48,5922,18,1471,1004,0.594343,0.99697,0.801028,0.99697,0.198972,0.888322,0.87855,1.13479,0.142257
49,5922,18,1469,1006,0.593535,0.99697,0.801245,0.99697,0.198755,0.888455,0.878313,1.135097,0.147496
50,5921,19,1466,1009,0.592323,0.996801,0.801543,0.996801,0.198457,0.888572,0.877837,1.13552,0.165926
51,5921,19,1465,1010,0.591919,0.996801,0.801652,0.996801,0.198348,0.888639,0.877718,1.135673,0.165966
52,5921,19,1464,1011,0.591515,0.996801,0.80176,0.996801,0.19824,0.888705,0.8776,1.135827,0.166667
53,5918,22,1455,1020,0.587879,0.996296,0.802658,0.996296,0.197342,0.889056,0.876173,1.137099,0.171683
54,5918,22,1453,1022,0.587071,0.996296,0.802876,0.996296,0.197124,0.889189,0.875936,1.137408,0.171695
55,5918,22,1451,1024,0.586263,0.996296,0.803094,0.996296,0.196906,0.889323,0.875698,1.137717,0.17314
56,5917,23,1444,1031,0.583434,0.996128,0.803831,0.996128,0.196169,0.889708,0.874747,1.138761,0.177771
57,5917,23,1441,1034,0.582222,0.996128,0.804159,0.996128,0.195841,0.889908,0.874391,1.139225,0.177808
58,5917,23,1438,1037,0.58101,0.996128,0.804487,0.996128,0.195513,0.890109,0.874034,1.13969,0.181287
59,5904,36,1421,1054,0.574141,0.993939,0.806007,0.993939,0.193993,0.890162,0.870469,1.141843,0.186047
60,5902,38,1418,1057,0.572929,0.993603,0.806284,0.993603,0.193716,0.890196,0.869875,1.142236,0.195489
61,5897,43,1409,1066,0.569293,0.992761,0.807145,0.992761,0.192855,0.890382,0.868212,1.143455,0.2
62,5896,44,1407,1068,0.568485,0.992593,0.807339,0.992593,0.192661,0.890433,0.867855,1.143731,0.20438
63,5893,47,1400,1075,0.565657,0.992088,0.808035,0.992088,0.191965,0.890652,0.866667,1.144716,0.204545
64,5892,48,1397,1078,0.564444,0.991919,0.808341,0.991919,0.191659,0.89077,0.866191,1.14515,0.205128
65,5890,50,1390,1085,0.561616,0.991582,0.809066,0.991582,0.190934,0.891074,0.865122,1.146177,0.205882
66,5887,53,1382,1093,0.558384,0.991077,0.809878,0.991077,0.190122,0.891362,0.863815,1.147327,0.20765
67,5881,59,1370,1105,0.553535,0.990067,0.811061,0.990067,0.188939,0.891669,0.861676,1.149002,0.207692
68,5877,63,1357,1118,0.548283,0.989394,0.812414,0.989394,0.187586,0.892212,0.859655,1.150919,0.207865
69,5870,70,1341,1134,0.541818,0.988215,0.814034,0.988215,0.185966,0.892708,0.856922,1.153215,0.208955
70,5864,76,1321,1154,0.533737,0.987205,0.816145,0.987205,0.183855,0.893562,0.853832,1.156205,0.209302
71,5860,80,1307,1168,0.528081,0.986532,0.817636,0.986532,0.182364,0.894179,0.851693,1.158318,0.21374
72,5857,83,1294,1181,0.522828,0.986027,0.819046,0.986027,0.180954,0.894813,0.849792,1.160316,0.214689
73,5851,89,1276,1199,0.515556,0.985017,0.820963,0.985017,0.179037,0.895538,0.84694,1.16303,0.217391
74,5851,89,1272,1203,0.513939,0.985017,0.821424,0.985017,0.178576,0.895813,0.846465,1.163683,0.218579
75,5847,93,1258,1217,0.508283,0.984343,0.822942,0.984343,0.177058,0.896435,0.844326,1.165834,0.219512
76,5846,94,1252,1223,0.505859,0.984175,0.823612,0.984175,0.176388,0.896763,0.843494,1.166784,0.224599
77,5844,96,1240,1235,0.50101,0.983838,0.824958,0.983838,0.175042,0.89742,0.84183,1.16869,0.226519
78,5841,99,1223,1252,0.494141,0.983333,0.826869,0.983333,0.173131,0.898339,0.839453,1.171397,0.226563
79,5839,101,1206,1269,0.487273,0.982997,0.828815,0.982997,0.171185,0.899345,0.837195,1.174154,0.227273
80,5839,101,1202,1273,0.485657,0.982997,0.829286,0.982997,0.170714,0.899623,0.83672,1.174821,0.228723
81,5838,102,1190,1285,0.480808,0.982828,0.830677,0.982828,0.169323,0.90037,0.835175,1.176793,0.229008
82,5837,103,1175,1300,0.474747,0.98266,0.83243,0.98266,0.16757,0.901328,0.833274,1.179276,0.233696
83,5836,104,1159,1316,0.468283,0.982492,0.83431,0.982492,0.16569,0.902358,0.831254,1.181939,0.234415
84,5835,105,1159,1316,0.468283,0.982323,0.834287,0.982323,0.165713,0.902273,0.831135,1.181906,0.238095
85,5835,105,1153,1322,0.465859,0.982323,0.835003,0.982323,0.164997,0.902692,0.830422,1.182921,0.242938
86,5834,106,1130,1345,0.456566,0.982155,0.837737,0.982155,0.162263,0.904216,0.82757,1.186794,0.262465
87,5833,107,1129,1346,0.456162,0.981987,0.837834,0.981987,0.162166,0.904201,0.827332,1.186931,0.262576
88,5832,108,1128,1347,0.455758,0.981818,0.837931,0.981818,0.162069,0.904186,0.827094,1.187069,0.5
89,5830,110,1127,1348,0.455354,0.981481,0.838005,0.981481,0.161995,0.904086,0.826738,1.187174,0.507444
90,5829,111,1127,1348,0.455354,0.981313,0.837982,0.981313,0.162018,0.904001,0.826619,1.187141,0.508015
