@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,1772,0,6643,0,1,1,0.210576,1,0.789424,0.347894,1,1,0
1,1756,16,4881,1762,0.734758,0.990971,0.264577,0.990971,0.735423,0.417648,0.788711,1.256444,0.000276
2,1755,17,4879,1764,0.734457,0.990406,0.264546,0.990406,0.735454,0.417559,0.788354,1.256296,0.000276
3,1755,17,4878,1765,0.734307,0.990406,0.264586,0.990406,0.735414,0.417609,0.788235,1.256486,0.000276
4,1755,17,4876,1767,0.734006,0.990406,0.264666,0.990406,0.735334,0.417708,0.787998,1.256865,0.000276
5,1755,17,4874,1769,0.733705,0.990406,0.264746,0.990406,0.735254,0.417807,0.78776,1.257244,0.000276
6,1755,17,4872,1771,0.733404,0.990406,0.264826,0.990406,0.735174,0.417907,0.787522,1.257623,0.000276
7,1755,17,4871,1772,0.733253,0.990406,0.264866,0.990406,0.735134,0.417957,0.787403,1.257813,0.000276
8,1755,17,4870,1773,0.733103,0.990406,0.264906,0.990406,0.735094,0.418006,0.787285,1.258003,0.000276
9,1755,17,4867,1776,0.732651,0.990406,0.265026,0.990406,0.734974,0.418156,0.786928,1.258573,0.000276
10,1755,17,4865,1778,0.73235,0.990406,0.265106,0.990406,0.734894,0.418255,0.78669,1.258953,0.000276
11,1755,17,4863,1780,0.732049,0.990406,0.265186,0.990406,0.734814,0.418355,0.786453,1.259334,0.000276
12,1755,17,4858,1785,0.731296,0.990406,0.265386,0.990406,0.734614,0.418605,0.785859,1.260286,0.000276
13,1755,17,4855,1788,0.730844,0.990406,0.265507,0.990406,0.734493,0.418754,0.785502,1.260858,0.000279
14,1755,17,4852,1791,0.730393,0.990406,0.265627,0.990406,0.734373,0.418904,0.785146,1.26143,0.000279
15,1755,17,4850,1793,0.730092,0.990406,0.265708,0.990406,0.734292,0.419004,0.784908,1.261812,0.000279
16,1755,17,4849,1794,0.729941,0.990406,0.265748,0.990406,0.734252,0.419054,0.784789,1.262003,0.000279
17,1755,17,4847,1796,0.72964,0.990406,0.265829,0.990406,0.734171,0.419155,0.784551,1.262386,0.000279
