@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,5940,0,2475,0,1,1,0.705882,1,0.294118,0.827586,1,1,0
1,5938,2,2080,395,0.840404,0.999663,0.740584,0.999663,0.259416,0.850838,0.952822,1.04916,0.000006
2,5938,2,2079,396,0.84,0.999663,0.740676,0.999663,0.259324,0.850899,0.952704,1.049291,0.000007
3,5938,2,2078,397,0.839596,0.999663,0.740768,0.999663,0.259232,0.85096,0.952585,1.049422,0.000015
4,5938,2,2077,398,0.839192,0.999663,0.740861,0.999663,0.259139,0.851021,0.952466,1.049553,0.00002
5,5938,2,2076,399,0.838788,0.999663,0.740953,0.999663,0.259047,0.851082,0.952347,1.049684,0.000025
6,5938,2,2075,400,0.838384,0.999663,0.741046,0.999663,0.258954,0.851143,0.952228,1.049815,0.000028
7,5938,2,2074,401,0.83798,0.999663,0.741138,0.999663,0.258862,0.851204,0.952109,1.049946,0.000049
8,5938,2,2073,402,0.837576,0.999663,0.741231,0.999663,0.258769,0.851265,0.95199,1.050077,0.000051
9,5938,2,2072,403,0.837172,0.999663,0.741323,0.999663,0.258677,0.851326,0.951872,1.050208,0.000053
10,5938,2,2071,404,0.836768,0.999663,0.741416,0.999663,0.258584,0.851387,0.951753,1.050339,0.000058
11,5938,2,2070,405,0.836364,0.999663,0.741508,0.999663,0.258492,0.851448,0.951634,1.05047,0.000077
12,5938,2,2069,406,0.83596,0.999663,0.741601,0.999663,0.258399,0.851509,0.951515,1.050602,0.000079
13,5938,2,2068,407,0.835556,0.999663,0.741694,0.999663,0.258306,0.85157,0.951396,1.050733,0.000081
14,5938,2,2067,408,0.835152,0.999663,0.741786,0.999663,0.258214,0.851631,0.951277,1.050864,0.000087
15,5938,2,2066,409,0.834747,0.999663,0.741879,0.999663,0.258121,0.851692,0.951159,1.050995,0.00009
