@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,4413,0,911,0,1,1,0.828888,1,0.171112,0.906439,1,1,0
1,4410,3,835,76,0.916575,0.99932,0.840801,0.99932,0.159199,0.913233,0.985162,1.014372,0.001
2,4410,3,834,77,0.915477,0.99932,0.840961,0.99932,0.159039,0.913327,0.984974,1.014565,0.001176
3,4410,3,833,78,0.91438,0.99932,0.841121,0.99932,0.158879,0.913422,0.984786,1.014759,0.005
4,4410,3,832,79,0.913282,0.99932,0.841282,0.99932,0.158718,0.913516,0.984598,1.014952,0.005263
5,4410,3,831,80,0.912184,0.99932,0.841442,0.99932,0.158558,0.913611,0.98441,1.015146,0.006575
6,4409,4,830,81,0.911087,0.999094,0.841573,0.999094,0.158427,0.913593,0.984035,1.015303,0.007227
7,4409,4,829,82,0.909989,0.999094,0.841733,0.999094,0.158267,0.913688,0.983847,1.015497,0.007664
8,4409,4,828,83,0.908891,0.999094,0.841894,0.999094,0.158106,0.913782,0.983659,1.015691,0.007797
9,4409,4,826,85,0.906696,0.999094,0.842216,0.999094,0.157784,0.913972,0.983283,1.016079,0.007845
10,4409,4,825,86,0.905598,0.999094,0.842377,0.999094,0.157623,0.914067,0.983095,1.016273,0.007849
11,4409,4,824,87,0.904501,0.999094,0.842538,0.999094,0.157462,0.914161,0.982908,1.016467,0.008
12,4408,5,824,87,0.904501,0.998867,0.842508,0.998867,0.157492,0.914049,0.98272,1.016431,0.008052
13,4408,5,823,88,0.903403,0.998867,0.842669,0.998867,0.157331,0.914144,0.982532,1.016625,0.008109
14,4408,5,822,89,0.902305,0.998867,0.84283,0.998867,0.15717,0.914238,0.982344,1.01682,0.008239
15,4408,5,821,90,0.901207,0.998867,0.842991,0.998867,0.157009,0.914333,0.982156,1.017014,0.008259
16,4408,5,820,91,0.90011,0.998867,0.843152,0.998867,0.156848,0.914428,0.981968,1.017209,0.008282
17,4408,5,819,92,0.899012,0.998867,0.843314,0.998867,0.156686,0.914523,0.981781,1.017403,0.008841
