@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,61,0,5263,0,1,1,0.011458,1,0.988542,0.022656,1,1,0
1,57,4,3422,1841,0.6502,0.934426,0.016384,0.934426,0.983616,0.032203,0.653456,1.429976,0.000018
2,57,4,3421,1842,0.65001,0.934426,0.016389,0.934426,0.983611,0.032212,0.653268,1.430387,0.00002
3,57,4,3420,1843,0.649819,0.934426,0.016393,0.934426,0.983607,0.032222,0.65308,1.430798,0.00002
4,57,4,3419,1844,0.649629,0.934426,0.016398,0.934426,0.983602,0.032231,0.652893,1.43121,0.00002
5,57,4,3418,1845,0.649439,0.934426,0.016403,0.934426,0.983597,0.03224,0.652705,1.431622,0.000021
6,57,4,3417,1846,0.649249,0.934426,0.016408,0.934426,0.983592,0.032249,0.652517,1.432034,0.000021
7,57,4,3416,1847,0.649059,0.934426,0.016412,0.934426,0.983588,0.032258,0.652329,1.432446,0.000021
8,57,4,3415,1848,0.648869,0.934426,0.016417,0.934426,0.983583,0.032267,0.652141,1.432859,0.000021
9,57,4,3414,1849,0.648679,0.934426,0.016422,0.934426,0.983578,0.032276,0.651953,1.433271,0.000021
10,57,4,3412,1851,0.648299,0.934426,0.016431,0.934426,0.983569,0.032295,0.651578,1.434098,0.000021
11,57,4,3411,1852,0.648109,0.934426,0.016436,0.934426,0.983564,0.032304,0.65139,1.434511,0.000022
12,57,4,3410,1853,0.647919,0.934426,0.016441,0.934426,0.983559,0.032313,0.651202,1.434925,0.000022
13,57,4,3409,1854,0.647729,0.934426,0.016445,0.934426,0.983555,0.032322,0.651014,1.435339,0.000022
14,57,4,3408,1855,0.647539,0.934426,0.01645,0.934426,0.98355,0.032331,0.650826,1.435753,0.000022
15,57,4,3407,1856,0.647349,0.934426,0.016455,0.934426,0.983545,0.03234,0.650639,1.436168,0.000023
16,57,4,3406,1857,0.647159,0.934426,0.01646,0.934426,0.98354,0.03235,0.650451,1.436583,0.000023
17,57,4,3405,1858,0.646969,0.934426,0.016464,0.934426,0.983536,0.032359,0.650263,1.436997,0.000023
18,57,4,3404,1859,0.646779,0.934426,0.016469,0.934426,0.983531,0.032368,0.650075,1.437413,0.000028
19,57,4,3403,1860,0.646589,0.934426,0.016474,0.934426,0.983526,0.032377,0.649887,1.437828,0.000029
20,57,4,3402,1861,0.646399,0.934426,0.016479,0.934426,0.983521,0.032386,0.649699,1.438244,0.000031
21,57,4,3401,1862,0.646209,0.934426,0.016484,0.934426,0.983516,0.032396,0.649512,1.43866,0.000031
22,57,4,3400,1863,0.646019,0.934426,0.016488,0.934426,0.983512,0.032405,0.649324,1.439076,0.000032
23,57,4,3399,1864,0.645829,0.934426,0.016493,0.934426,0.983507,0.032414,0.649136,1.439492,0.000033
24,57,4,3398,1865,0.645639,0.934426,0.016498,0.934426,0.983502,0.032423,0.648948,1.439909,0.000033
25,57,4,3396,1867,0.645259,0.934426,0.016507,0.934426,0.983493,0.032442,0.648573,1.440743,0.000034
