@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,183,0,5141,0,1,1,0.034373,1,0.965627,0.066461,1,1,0
1,181,2,3325,1816,0.646761,0.989071,0.051626,0.989071,0.948374,0.09813,0.658527,1.501944,0.000017
2,181,2,3324,1817,0.646567,0.989071,0.051641,0.989071,0.948359,0.098156,0.65834,1.502372,0.000021
3,181,2,3323,1818,0.646372,0.989071,0.051655,0.989071,0.948345,0.098183,0.658152,1.502801,0.000021
4,181,2,3322,1819,0.646178,0.989071,0.05167,0.989071,0.94833,0.098209,0.657964,1.50323,0.000023
5,181,2,3321,1820,0.645983,0.989071,0.051685,0.989071,0.948315,0.098236,0.657776,1.503659,0.000026
6,181,2,3320,1821,0.645789,0.989071,0.0517,0.989071,0.9483,0.098263,0.657588,1.504089,0.000027
7,181,2,3319,1822,0.645594,0.989071,0.051714,0.989071,0.948286,0.098289,0.6574,1.504518,0.000034
8,181,2,3318,1823,0.6454,0.989071,0.051729,0.989071,0.948271,0.098316,0.657213,1.504948,0.000037
9,181,2,3317,1824,0.645205,0.989071,0.051744,0.989071,0.948256,0.098343,0.657025,1.505379,0.000044
10,181,2,3316,1825,0.645011,0.989071,0.051759,0.989071,0.948241,0.09837,0.656837,1.505809,0.000051
11,181,2,3315,1826,0.644816,0.989071,0.051773,0.989071,0.948227,0.098396,0.656649,1.50624,0.000052
12,181,2,3314,1827,0.644622,0.989071,0.051788,0.989071,0.948212,0.098423,0.656461,1.506671,0.000052
13,181,2,3313,1828,0.644427,0.989071,0.051803,0.989071,0.948197,0.09845,0.656273,1.507102,0.000055
14,181,2,3312,1829,0.644233,0.989071,0.051818,0.989071,0.948182,0.098477,0.656086,1.507533,0.000063
15,181,2,3311,1830,0.644038,0.989071,0.051833,0.989071,0.948167,0.098503,0.655898,1.507965,0.000064
16,181,2,3310,1831,0.643844,0.989071,0.051848,0.989071,0.948152,0.09853,0.65571,1.508397,0.000064
17,181,2,3309,1832,0.643649,0.989071,0.051862,0.989071,0.948138,0.098557,0.655522,1.508829,0.000066
18,181,2,3307,1834,0.64326,0.989071,0.051892,0.989071,0.948108,0.098611,0.655147,1.509694,0.000068
19,181,2,3306,1835,0.643066,0.989071,0.051907,0.989071,0.948093,0.098638,0.654959,1.510127,0.000068
20,181,2,3305,1836,0.642871,0.989071,0.051922,0.989071,0.948078,0.098664,0.654771,1.510561,0.000069
21,181,2,3304,1837,0.642677,0.989071,0.051937,0.989071,0.948063,0.098691,0.654583,1.510994,0.00007
22,181,2,3303,1838,0.642482,0.989071,0.051952,0.989071,0.948048,0.098718,0.654395,1.511428,0.000073
23,181,2,3302,1839,0.642287,0.989071,0.051967,0.989071,0.948033,0.098745,0.654207,1.511862,0.000074
24,181,2,3300,1841,0.641898,0.989071,0.051997,0.989071,0.948003,0.098799,0.653832,1.51273,0.000075
25,181,2,3299,1842,0.641704,0.989071,0.052011,0.989071,0.947989,0.098826,0.653644,1.513165,0.000077
26,181,2,3298,1843,0.641509,0.989071,0.052026,0.989071,0.947974,0.098853,0.653456,1.5136,0.000079
27,181,2,3297,1844,0.641315,0.989071,0.052041,0.989071,0.947959,0.09888,0.653268,1.514035,0.000081
28,181,2,3296,1845,0.64112,0.989071,0.052056,0.989071,0.947944,0.098907,0.65308,1.514471,0.000081
29,181,2,3295,1846,0.640926,0.989071,0.052071,0.989071,0.947929,0.098934,0.652893,1.514906,0.000082
30,180,3,3295,1846,0.640926,0.983607,0.051799,0.983607,0.948201,0.098414,0.652705,1.50697,0.000082
31,180,3,3294,1847,0.640731,0.983607,0.051813,0.983607,0.948187,0.098441,0.652517,1.507404,0.000083
32,180,3,3292,1849,0.640342,0.983607,0.051843,0.983607,0.948157,0.098495,0.652141,1.508272,0.000083
33,180,3,3291,1850,0.640148,0.983607,0.051858,0.983607,0.948142,0.098522,0.651953,1.508707,0.000084
